time_ns,best_features,best_sustained,best_timing_bound,reference,experiment
50.0,125.20554877726536,12.258830593666778,154.0123224286288,95.9129599683224,182.8533
51.0,145.25249933555105,15.502007235186852,153.9168954531792,105.90056938356196,185.6267
52.0,157.37141238997313,26.763571727248536,153.42681101144777,119.90270474422262,179.6
53.0,153.5253948760839,50.331467152759565,153.79850558843634,131.67230059918708,179.6
54.0,125.82692951213,85.27539805977439,153.8980455297685,135.6260342470435,179.6
55.0,91.85005903372152,127.21902222253168,153.84173432990988,128.23979344358955,183.7867
56.0,80.40765739500306,171.39862214252383,153.32958101196033,112.86322953022392,180.08
57.0,82.7344137141832,213.62587658864695,153.797417662831,101.74579106757596,181.92
58.0,94.54313162631546,249.88694854624785,153.84282183011922,100.96839685444208,184.24
59.0,112.67500774853688,279.36100500539067,153.74197078498634,104.80373846195668,187.9467
60.0,131.55531173787622,300.70642091476265,153.32149169693338,114.12749405685751,184.6933
61.0,146.24962082799124,307.70696297885974,153.7447270917677,123.9290408911235,183.7867
62.0,151.0420093135312,85.76573864802099,153.8312580442497,129.47906960039282,183.7867
63.0,138.8932535069917,11.472027709044358,153.63886983651216,127.39298774939417,184.6933
64.0,110.6470290864721,11.504885274311752,153.16142327733624,118.06474098726392,180.5333
65.0,89.32567241821647,12.192493776122747,153.7756616747899,108.32433968626118,179.6
66.0,86.67449366245381,15.122456549846843,153.8670946075511,104.89790930927538,180.08
67.0,90.958166378166,25.737169401586954,153.50665211379743,106.34657899936684,181.92
68.0,103.96027613043996,48.37978057315512,153.0644167904309,111.38241963411636,178.2133
69.0,120.45668916819842,82.51090970882898,153.71729393966933,118.51900788560124,178.6933
70.0,136.04848366690834,124.07933705369535,153.99582629882778,124.21518301573045,180.9867
71.0,145.4118091103042,168.42255151276115,153.55505137760994,125.05421534350062,183.7867
72.0,142.55652077083096,210.98506564669833,153.06675585146243,120.14976825156718,181.92
73.0,124.39209173363793,247.4697451149721,153.71729387893762,112.98582064012272,183.7867
74.0,101.59486969736524,277.2361297895852,153.9541477234948,108.70148058745876,187.0133
75.0,90.96994321491933,299.26933267956144,153.686792151517,108.87188327531987,189.7867
76.0,91.5924549196558,307.59694746609483,152.99132581407227,110.81711486595228,186.56
77.0,98.60536291406912,121.69757236735292,153.76515607259,115.43578660665057,185.6267
78.0,112.1403449515666,11.51523314990376,153.97329597406906,120.35232298525922,186.56
79.0,127.08270826221602,11.568539740617467,153.61072269531462,122.53164447378786,187.0133
80.0,138.2542735841825,12.142219182955332,152.86360764481284,120.36674267231648,181.92
81.0,140.95275979888555,14.815995855537668,153.71423783362707,115.56480127188556,180.08
82.0,131.8632613663295,24.95300532478511,154.03568729373237,111.7257616980728,181.92
83.0,113.37102652517792,47.2231192450597,153.67305314325557,110.79938519359357,182.8533
84.0,97.9186206521142,80.93497747459296,152.9081018277234,111.51494849233184,179.6
85.0,94.21497686507062,121.95613099733252,153.68381078753995,113.92682373437924,178.6933
86.0,96.86642878622438,166.0998757109956,154.02702987601776,117.59147789421768,180.9867
87.0,106.52316059563968,209.0948738239574,153.5630186889178,120.03361803531511,184.6933
88.0,119.19510887492832,246.0224570029274,152.84003310739453,119.38484796666025,183.3067
89.0,130.77908982661762,275.8741947468554,153.75681468779425,116.5861832483246,183.7867
90.0,137.30394749250408,298.1984852949308,153.98935987386278,113.88197612427057,186.56
91.0,134.7357227683604,307.7358810832694,153.48899040124533,112.55899668372092,190.2667
92.0,121.64579433696257,154.47792359716289,152.87622822692583,112.66789558303964,187.9467
93.0,105.65182382118223,11.527403709450612,153.58679192177283,113.52366721017104,187.0133
94.0,97.58003988525113,11.546752191737404,153.89351552851443,115.82948839436878,185.6267
95.0,97.94671408498418,12.159686868282703,153.42434874031542,117.89872121643128,186.56
96.0,102.81755851436992,14.601348633023754,152.9309751000627,118.04550217451622,183.3067
97.0,112.87561827415637,24.203865701287256,153.61528247257246,116.69386486387154,181.4667
98.0,124.3176501271137,45.87797983018881,153.85696273994142,115.0954081775649,180.5333
99.0,132.80632959226287,79.38329594037106,153.5127135185395,113.98678840480753,181.4667
100.0,134.1515667746201,120.3172896901542,153.02324295043945,113.5698706496475,179.1467
101.0,126.48673653919336,164.14811895753616,153.49185683950273,113.92165131985568,178.2133
102.0,113.22255718609712,206.9903216469506,153.83510271228818,115.13770159297756,179.1467
103.0,102.66451566617576,244.33439757530536,153.50547233368314,116.5875518658016,181.4667
104.0,99.88625933644074,274.6130724148486,153.07487517378792,117.00698031691792,180.5333
105.0,101.66265921537445,296.94959992414823,153.29454864116894,116.31712865774172,181.4667
106.0,108.76643610982144,306.7564694444228,153.7296919625975,115.36073825557472,184.24
107.0,118.77228655670042,185.9611516604091,153.59401533407382,114.66453881515852,187.0133
108.0,127.56335973866778,11.60571171395614,153.10348605245971,114.27789220950524,184.6933
109.0,131.46090604791516,11.51598755570465,153.27687595502857,114.41358252696206,183.3067
110.0,128.45654612662173,12.146275095195833,153.7441764249696,115.13703852924512,183.3067
111.0,119.0190446630452,14.612448923565832,153.5319670796522,116.121814826363,184.6933
112.0,108.12930525711408,23.987594710313985,153.0224529364915,116.35346033361029,180.08
113.0,102.26342533808172,45.289869401575814,153.29598015107936,115.77561403048728,178.6933
114.0,102.52627488864026,78.55883339132723,153.73699413628367,115.21101086929718,179.6
115.0,106.59971098998142,119.6780104873201,153.45568857701,114.94213326595552,181.4667
116.0,114.38311769513032,163.6948384451793,152.87601970355814,114.67610376508166,178.2133
117.0,122.6031703796757,206.3852497867271,153.2688001967771,114.65165787854798,177.3067
118.0,128.2550304272704,243.60339264342676,153.77606476214766,115.26313184994336,179.1467
119.0,128.58204304788438,274.05884060347694,153.4556139850927,116.05712818344004,182.8533
120.0,122.39304835179225,296.5154202096891,152.85650299769213,116.04333439854504,180.9867
121.0,112.8026261969728,306.223778647123,153.42712444716454,115.50246146592433,181.92
122.0,105.79093341246956,193.2539513138888,153.7808779035881,115.20639097186267,184.24
123.0,104.40128182087363,11.687061194012612,153.3730787747213,115.09091482836658,187.4667
