I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
50.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.0,0.0,0.0,63.99484704858979,18.1300243789013,0.0,55.0205016251597,8.509613353426934,-27.35642673959657,55.0205016251597,6.351808097510357,3.571995729130392,0.7490037303400607,inf,inf,0.46319833713253844,0.0,0.0,0.0,0.11460403269393865
250.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.0,0.0,0.0,318.99454731067055,90.42225136971697,0.0,274.9137738084263,42.407632779868194,-136.59580938981122,274.9137738084263,33.08635221895682,3.571995729130392,0.7488594995693337,inf,inf,0.4594190537771493,0.0,0.0,0.0,0.18851078612995759
450.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.0,0.0,0.0,569.8073491858113,161.75660084935132,0.0,494.0268931738884,75.7203449708172,-245.06469820253145,494.0268931738884,65.6280919597516,3.571995729130392,0.7484896495721584,inf,inf,0.4499325315554683,0.0,0.0,0.0,0.18787044587999413
650.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.0,0.0,0.0,811.7935291195664,231.15263436548133,0.0,711.6240845194409,107.87424226943152,-352.0351213581753,711.6240845194409,111.12893874480358,3.571995729130392,0.7477969721110086,inf,inf,0.4327469062187713,0.0,0.0,0.0,0.18671041616976705
850.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.0,0.0,0.0,1036.9361004193438,297.1207306574028,0.0,926.7269603746523,138.06345484149148,-456.53662710686854,926.7269603746523,183.89522789445584,3.571995729130392,0.7465659567460938,inf,inf,0.4032152501105435,0.0,0.0,0.0,0.1847170293824617
1050.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,0.0,0.0,0.0,1227.8666244414994,356.9681054252485,0.0,1137.8504884060537,164.99041296250869,-557.0923138583743,1137.8504884060537,319.9888696083765,3.571995729130392,0.7443231246198042,inf,inf,0.3499543034228828,0.0,0.0,0.0,0.1811219154810446
1250.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,1.0,1.0,0.0,1363.564979471553,404.9880984523016,0.0,1342.3966412462235,186.28586329417107,-651.112547077075,1342.3966412462235,627.493921806823,3.571995729130392,0.7399858441130119,inf,inf,0.2653191533017578,0.0,0.0,0.0,0.17540904284786868
1450.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,1.0,1.0,0.0,1478.4680995886183,428.6480699646584,0.0,1534.972374121922,197.11174117596727,-733.2130099643714,1534.972374121922,1285.780374435304,3.571995729130392,0.7311002740892387,inf,inf,0.25261432415489904,0.0,0.0,0.0,0.1745514668804557
1650.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,1.0,1.0,0.0,1579.4405011308422,471.97022742437014,0.0,1701.0280016440402,188.05741926624145,-788.853161124317,1701.0280016440402,1679.8189868954921,3.571995729130392,0.7084569990974338,inf,inf,1.0138153316487708,0.0,0.0,0.0,0.225
1850.0,100.0,49.62776831,0.20558726,325.0,325.0,1819.8973334838302,18.197838136784316,181.98973334838303,1.8197838136784317,0.05459351441035295,0.05459351441035295,0.03,0.0002999812868885552,0.0039739357542312205,10990.316459389136,1.0,2.0,2.0,1.0,1788.060457290167,623.0842868542755,0.0,1773.9675806778118,238.01534218490687,-751.4467082672089,1773.9675806778118,1757.4042903755649,3.571995729130392,0.5930043016263389,0.0,0.9726085148521693,1.1513757570364842,1.0,0.0,0.0,0.0
50.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,0.36269398872631964,0.03896127241516424,0.0,6.835140714984973,7.870859140373098e-05,0.0001933370390698741,6.835140714984973,6.835025016076788,3.5712992979100506,0.8059888658977361,inf,inf,0.00017953425024963405,0.0,0.0,0.0,0.06751211856189185
250.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,1.6748644831566608,0.16061240692722253,0.0,33.910855848935114,0.009490388500995584,0.0963023500381297,33.910855848935114,33.91030639767224,3.5712992979100506,0.5293564499902789,inf,inf,0.0045940736377880955,0.0,0.0,0.0,0.0678100999705507
450.0,50.0,20.0,0.5,334.26021311347546,334.26021311347546,136.74746726647172,18.197838136784316,6.837373363323586,0.9098919068392158,0.027296757205176474,0.027296757205176474,0.03,0.003992287060349702,0.0019869678771156103,21980.632918778272,1.0,1.0,1.0,0.0,2.5942962372444285,0.2666465337925427,0.0,59.96662283314526,0.050441501905710846,0.6922343261295723,59.96662283314526,59.965743588134,3.5712992979100506,0.6390393232235251,inf,inf,0.015204315002186474,0.0,0.0,0.0,0.06852629126264759
