I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,sigma_W_sqrt_s,Rm_factor_scale,Tc_shift_K,w_scale,beta_scale,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,Rm_eff_ohm,Tc_eff_K,w_eff_K,beta_eff_per_K,reversal_threshold_K,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,plateau_vpp_mV,plateau_turn_count,plateau_res_ohm,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
50.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,47.01041967769919,13.364158360235747,0.0,39.367241083332694,6.381830430019271,22.196693226067254,0.0,787.344821666654,-20.026259720949202,39.367241083332694,2.4649060512463166,3.572125513638087,0.7490196002961514,inf,inf,0.49794975092478877,0.0,0.0,0.0,0.11083535927139494
200.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,187.38331222497024,53.30396480464422,0.0,157.3470945838155,25.434982336042356,88.44510955372581,0.0,786.7354729190777,-79.98461507266953,157.3470945838155,10.798273870058182,3.572125513638087,0.7488612837032078,inf,inf,0.4934943456775679,0.0,0.0,0.0,0.16106886073422513
350.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,325.2829133559545,92.67656185416622,0.0,274.8785287882646,44.146702102103376,153.42446283403183,0.0,785.3672251093275,-139.49976340531805,274.8785287882646,22.701107065415016,3.572125513638087,0.7484889963741466,inf,inf,0.483225096767103,0.0,0.0,0.0,0.19011769403177944
500.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,458.4333374715287,130.98648822897312,0.0,391.5870751854538,62.22539973376119,216.02698966576895,0.0,783.1741503709076,-198.20117135967675,391.5870751854538,41.63274927402642,3.572125513638087,0.7478429719846971,inf,inf,0.46597733438429556,0.0,0.0,0.0,0.18895347007093993
650.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,583.7206572006925,167.60688527218278,0.0,507.0282298918371,79.31426304425925,274.84966867713155,0.0,780.0434306028263,-255.64831294221923,507.0282298918371,72.62629841498875,3.572125513638087,0.7468132162247725,inf,inf,0.43959217630565706,0.0,0.0,0.0,0.18717247190063185
800.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,696.4218567508468,201.68202086677064,0.0,620.6383033578221,94.94594627779972,327.9636021769282,0.0,775.7978791972778,-311.2815381610546,620.6383033578221,123.71811008953136,3.572125513638087,0.7452108972992584,inf,inf,0.4002667243068438,0.0,0.0,0.0,0.18451800389071193
950.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,0.0,0.0,0.0,788.6823677455744,231.97439439774007,0.0,731.6561625228234,108.47308826387884,372.5143196520091,0.0,770.164381602972,-364.34383477389713,731.6561625228234,208.39171215863212,3.572125513638087,0.7427186980198478,inf,inf,0.3411874148074082,0.0,0.0,0.0,0.18053015049950005
1100.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,1.0,1.0,0.0,858.4249372633453,256.6415788408116,0.0,838.9871579126258,118.95858502436411,403.9613686208543,0.0,762.7155981023873,-413.7447758615409,838.9871579126258,348.40672722356703,3.572125513638087,0.7388153538434148,inf,inf,0.26757252649346996,0.0,0.0,0.0,0.1755611455383092
1250.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,1.0,1.0,0.0,920.3718483611144,273.1037971664166,0.0,940.9448914425184,125.01362935611405,414.60963836668213,1.0,752.7559131540147,-457.80230922763667,940.9448914425184,566.8710471993668,3.572125513638087,0.7327068656477591,inf,inf,0.20402056177400604,0.0,0.0,0.0,0.17127138791974542
1400.0,145.34619293,49.62776831,0.20558726,328.0,328.0,0.0,1.0,0.0,1.0,1.0,1382.6077353586656,18.197838136784316,200.956770649951,2.6449864927379654,18.197838136784316,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.07934959478213896,0.07934959478213896,0.03,0.0003948590262746557,0.005775964328259161,10081.96704969279,1.0,1.0,1.0,0.0,976.2080522577629,279.60299924510247,0.0,1034.7110472550166,124.68017142913844,410.48927029524066,1.0,739.079319467869,-493.702611213286,1034.7110472550166,835.44424537223,3.572125513638087,0.7234421707912573,inf,inf,0.30583672068091333,0.0,0.0,0.0,0.17814397864596165
