Temperature	Resistance	Time	Current	V+	V-	T+	T-	Loop	Row
K	Ohm	sec	A	V	V	K	K

370.004500E+0	8.751895E+1	3.799761E+1	1.000000E-6	8.755564E-5	-8.748226E-5	3.700070E+2	3.700020E+2	1	1
369.951000E+0	8.734686E+1	4.258615E+1	1.000000E-6	8.692143E-5	-8.777229E-5	3.699760E+2	3.699260E+2	1	1
369.741000E+0	8.734803E+1	4.717799E+1	1.000000E-6	8.636031E-5	-8.833574E-5	3.698070E+2	3.696750E+2	1	1
369.354000E+0	8.723959E+1	5.176812E+1	1.000000E-6	8.573789E-5	-8.874129E-5	3.694550E+2	3.692530E+2	1	1
368.841000E+0	8.729738E+1	5.635860E+1	1.000000E-6	8.526873E-5	-8.932604E-5	3.689580E+2	3.687240E+2	1	1
368.245500E+0	8.720427E+1	6.095025E+1	1.000000E-6	8.446242E-5	-8.994612E-5	3.683730E+2	3.681180E+2	1	1
367.622500E+0	8.702394E+1	6.554711E+1	1.000000E-6	8.382586E-5	-9.022201E-5	3.677510E+2	3.674940E+2	1	1
367.019000E+0	8.728681E+1	7.015030E+1	1.000000E-6	8.371505E-5	-9.085856E-5	3.671400E+2	3.668980E+2	1	1
366.455000E+0	8.710409E+1	7.475130E+1	1.000000E-6	8.339203E-5	-9.081615E-5	3.665670E+2	3.663430E+2	1	1
365.932000E+0	8.716423E+1	7.934866E+1	1.000000E-6	8.320816E-5	-9.112029E-5	3.660360E+2	3.658280E+2	1	1
365.443000E+0	8.708165E+1	8.394966E+1	1.000000E-6	8.306659E-5	-9.109671E-5	3.655410E+2	3.653450E+2	1	1
364.973500E+0	8.718428E+1	8.854997E+1	1.000000E-6	8.295588E-5	-9.141267E-5	3.650700E+2	3.648770E+2	1	1
364.507000E+0	8.726324E+1	9.315104E+1	1.000000E-6	8.261161E-5	-9.191486E-5	3.646040E+2	3.644100E+2	1	1
364.032000E+0	8.725614E+1	9.775037E+1	1.000000E-6	8.262810E-5	-9.188418E-5	3.641310E+2	3.639330E+2	1	1
363.548000E+0	8.706638E+1	1.023516E+2	1.000000E-6	8.203401E-5	-9.209875E-5	3.636490E+2	3.634470E+2	1	1
363.060000E+0	8.721256E+1	1.069516E+2	1.000000E-6	8.204579E-5	-9.237933E-5	3.631610E+2	3.629590E+2	1	1
362.574500E+0	8.706521E+1	1.115515E+2	1.000000E-6	8.179592E-5	-9.233450E-5	3.626740E+2	3.624750E+2	1	1
362.094500E+0	8.735403E+1	1.161562E+2	1.000000E-6	8.202462E-5	-9.268343E-5	3.621930E+2	3.619960E+2	1	1
361.622000E+0	8.732576E+1	1.207534E+2	1.000000E-6	8.177470E-5	-9.287681E-5	3.617190E+2	3.615250E+2	1	1
