Temperature	Resistance	Time	Current	V+	V-	T+	T-	Loop	Row
K	Ohm	sec	A	V	V	K	K

370.007000E+0	1.976677E+2	4.098584E+1	1.000000E-6	1.716573E-4	-2.236780E-4	3.700050E+2	3.700090E+2	1	1
369.967500E+0	1.973103E+2	4.557309E+1	1.000000E-6	1.715936E-4	-2.230271E-4	3.699900E+2	3.699450E+2	1	1
369.778500E+0	1.972844E+2	5.015659E+1	1.000000E-6	1.728926E-4	-2.216763E-4	3.698380E+2	3.697190E+2	1	1
369.428500E+0	1.972067E+2	5.475190E+1	1.000000E-6	1.739843E-4	-2.204291E-4	3.695170E+2	3.693400E+2	1	1
368.945000E+0	1.974859E+2	5.935038E+1	1.000000E-6	1.751889E-4	-2.197829E-4	3.690550E+2	3.688350E+2	1	1
368.378500E+0	1.977654E+2	6.394044E+1	1.000000E-6	1.759529E-4	-2.195779E-4	3.685010E+2	3.682560E+2	1	1
367.769500E+0	1.977713E+2	6.853826E+1	1.000000E-6	1.761274E-4	-2.194151E-4	3.678970E+2	3.676420E+2	1	1
367.153000E+0	1.977866E+2	7.313919E+1	1.000000E-6	1.759552E-4	-2.196180E-4	3.672790E+2	3.670270E+2	1	1
366.559500E+0	1.981214E+2	7.774021E+1	1.000000E-6	1.760991E-4	-2.201437E-4	3.666790E+2	3.664400E+2	1	1
365.999500E+0	1.980872E+2	8.233972E+1	1.000000E-6	1.756958E-4	-2.204785E-4	3.661110E+2	3.658880E+2	1	1
365.476000E+0	1.983407E+2	8.693971E+1	1.000000E-6	1.755946E-4	-2.210868E-4	3.655810E+2	3.653710E+2	1	1
364.981000E+0	1.985328E+2	9.152701E+1	1.000000E-6	1.756110E-4	-2.214546E-4	3.650810E+2	3.648810E+2	1	1
364.502500E+0	1.986495E+2	9.612712E+1	1.000000E-6	1.757525E-4	-2.215465E-4	3.646000E+2	3.644050E+2	1	1
364.032000E+0	1.987391E+2	1.007271E+2	1.000000E-6	1.755214E-4	-2.219569E-4	3.641290E+2	3.639350E+2	1	1
363.561500E+0	1.990964E+2	1.053179E+2	1.000000E-6	1.758280E-4	-2.223647E-4	3.636590E+2	3.634640E+2	1	1
363.087500E+0	1.990763E+2	1.099161E+2	1.000000E-6	1.756912E-4	-2.224614E-4	3.631860E+2	3.629890E+2	1	1
362.608000E+0	1.993203E+2	1.145171E+2	1.000000E-6	1.759151E-4	-2.227255E-4	3.627070E+2	3.625090E+2	1	1
362.128000E+0	1.997683E+2	1.191182E+2	1.000000E-6	1.762830E-4	-2.232537E-4	3.622270E+2	3.620290E+2	1	1
361.649500E+0	1.999723E+2	1.237178E+2	1.000000E-6	1.763938E-4	-2.235507E-4	3.617480E+2	3.615510E+2	1	1
