Temperature	Resistance	Time	Current	V+	V-	T+	T-	Loop	Row
K	Ohm	sec	A	V	V	K	K

370.004500E+0	9.143090E+1	3.807493E+1	1.000000E-6	2.136000E-5	-1.615018E-4	3.700070E+2	3.700020E+2	1	1
369.950000E+0	9.102302E+1	4.266732E+1	1.000000E-6	2.180323E-5	-1.602428E-4	3.699740E+2	3.699260E+2	1	1
369.741000E+0	9.089567E+1	4.725598E+1	1.000000E-6	2.333334E-5	-1.584580E-4	3.698030E+2	3.696790E+2	1	1
369.352000E+0	9.088733E+1	5.185590E+1	1.000000E-6	2.546936E-5	-1.563053E-4	3.694490E+2	3.692550E+2	1	1
368.825000E+0	9.109362E+1	5.645624E+1	1.000000E-6	2.732484E-5	-1.548624E-4	3.689440E+2	3.687060E+2	1	1
368.221500E+0	9.115016E+1	6.106025E+1	1.000000E-6	2.853902E-5	-1.537613E-4	3.683500E+2	3.680930E+2	1	1
367.597000E+0	9.110058E+1	6.565797E+1	1.000000E-6	2.928165E-5	-1.529195E-4	3.677250E+2	3.674690E+2	1	1
366.997500E+0	9.119609E+1	7.025836E+1	1.000000E-6	2.938778E-5	-1.530044E-4	3.671170E+2	3.668780E+2	1	1
366.439500E+0	9.134824E+1	7.485908E+1	1.000000E-6	2.959997E-5	-1.530965E-4	3.665500E+2	3.663290E+2	1	1
365.926500E+0	9.152383E+1	7.945780E+1	1.000000E-6	2.972255E-5	-1.533251E-4	3.660280E+2	3.658250E+2	1	1
365.446500E+0	9.138828E+1	8.405923E+1	1.000000E-6	2.945615E-5	-1.533204E-4	3.655430E+2	3.653500E+2	1	1
364.981500E+0	9.129986E+1	8.866067E+1	1.000000E-6	2.963532E-5	-1.529644E-4	3.650770E+2	3.648860E+2	1	1
364.515000E+0	9.128220E+1	9.325896E+1	1.000000E-6	2.992769E-5	-1.526367E-4	3.646120E+2	3.644180E+2	1	1
364.037000E+0	9.111126E+1	9.785948E+1	1.000000E-6	3.010452E-5	-1.521180E-4	3.641370E+2	3.639370E+2	1	1
363.549500E+0	9.127743E+1	1.024638E+2	1.000000E-6	3.060197E-5	-1.519529E-4	3.636510E+2	3.634480E+2	1	1
363.059000E+0	9.128098E+1	1.070637E+2	1.000000E-6	3.078116E-5	-1.517808E-4	3.631600E+2	3.629580E+2	1	1
362.573500E+0	9.124445E+1	1.116585E+2	1.000000E-6	3.113480E-5	-1.513541E-4	3.626730E+2	3.624740E+2	1	1
362.096000E+0	9.123146E+1	1.162472E+2	1.000000E-6	3.149552E-5	-1.509674E-4	3.621940E+2	3.619980E+2	1	1
361.624500E+0	9.137057E+1	1.208482E+2	1.000000E-6	3.172653E-5	-1.510146E-4	3.617210E+2	3.615280E+2	1	1
