I_target_uA,I_avg_uA,V_avg_mV,V_std_mV,V_pp_mV,V_pp_active_mV,turn_count,input_power_dBm,dominant_freq_MHz,oscillatory,n_cycles,period_cv,spectral_purity,R_plateau_ohm,R_min_ohm,R_max_ohm,T_avg_K,T_max_K,P_avg_uW,P_peak_uW,cycle_energy_pJ,cycle_period_ns,cycle_frequency_MHz,regime
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,inf,0.0,2817.621337890625,2817.621826171875,2817.621826171875,311.2193603515625,311.2193603515625,0.0,0.0,,,0.0,insulating
100.0,100.0,280.1938781738281,3.0517578125e-05,0.0,0.0,0.0,-33.01030017606384,3.569382264196159,0.0,1.0,inf,0.7647168092358573,2802.851806640625,2802.851806640625,2802.851806640625,311.41607666015625,311.4161071777344,28.01026153564453,28.010263442993164,,,0.0,insulating
200.0,200.0,548.3403930664062,0.0,0.0,0.0,0.0,-26.98970026278422,3.569382264196159,0.0,1.0,inf,0.7767340287642165,2742.59521484375,2742.594970703125,2742.594970703125,312.23236083984375,312.2323303222656,109.63236999511719,109.63236999511719,,,0.0,insulating
300.0,300.0,795.0499267578125,6.103515625e-05,0.0,0.0,0.0,-23.467874449688956,3.569382264196159,0.0,1.0,inf,0.7945544152356323,2650.741943359375,2650.741943359375,2650.741943359375,313.52056884765625,313.5206298828125,238.4632568359375,238.46322631835938,,,0.0,insulating
400.0,400.0,1014.4481201171875,6.103515625e-05,0.0,0.0,0.0,-20.969100349504597,3.569382264196159,0.0,1.0,inf,0.5026828606821782,2535.294677734375,2535.29443359375,2535.29443359375,315.2212219238281,315.2212219238281,405.9113464355469,405.9113464355469,,,0.0,insulating
500.0,500.0000305175781,1203.8389892578125,0.0001220703125,0.0,0.0,0.0,-19.030898446191294,3.569382264196159,0.0,1.0,inf,0.4437268151402811,2407.05078125,2407.05078125,2407.05078125,317.2275390625,317.2275390625,602.0763549804688,602.076416015625,,,0.0,insulating
600.0,600.0,1364.1923828125,0.0001220703125,0.0,0.0,0.0,-17.44727453640933,3.569382264196159,0.0,1.0,inf,0.6147022982326187,2273.160400390625,2273.160400390625,2273.160400390625,319.46966552734375,319.4696350097656,818.693115234375,818.6932983398438,,,0.0,insulating
700.0,700.0,1500.478515625,0.0001220703125,0.0,0.0,0.0,-16.108339466061803,3.569382264196159,0.0,0.0,inf,0.6650931216420147,2143.142333984375,2143.14208984375,2143.14208984375,321.8080749511719,321.80804443359375,1050.5302734375,1050.530517578125,,,0.0,insulating
800.0,800.0,1615.090087890625,0.0001220703125,0.0,0.0,0.0,-14.948500436224972,3.569382264196159,0.0,0.0,inf,0.6838225558887253,2019.1915283203125,2019.19140625,2019.19140625,324.19317626953125,324.1932067871094,1291.86181640625,1291.861572265625,,,0.0,insulating
900.0,900.0,1708.782470703125,0.0001220703125,0.0,0.0,0.0,-13.925450478818655,3.569382264196159,0.0,1.0,inf,0.6689627488887053,1898.921875,1898.921875,1898.921875,326.6084289550781,326.6083984375,1537.6812744140625,1537.681396484375,,,0.0,insulating
