I_target_uA,I_avg_uA,V_avg_mV,V_std_mV,V_pp_mV,V_pp_active_mV,turn_count,input_power_dBm,dominant_freq_MHz,oscillatory,n_cycles,period_cv,spectral_purity,R_plateau_ohm,R_min_ohm,R_max_ohm,T_avg_K,T_max_K,P_avg_uW,P_peak_uW,cycle_energy_pJ,cycle_period_ns,cycle_frequency_MHz,regime
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,inf,0.0,2817.62158203125,2817.621826171875,2817.621826171875,311.2193298339844,311.2193603515625,0.0,0.0,,,0.0,insulating
100.0,100.0,254.34024047851562,17.7415714263916,64.43606567382812,64.43606567382812,0.0,-33.01030017606384,3.5706924476879887,0.0,1.0,inf,0.7457384479500785,2803.832763671875,2801.076171875,2809.458984375,311.40301513671875,311.4398193359375,23.186521530151367,26.86735725402832,,,0.0,insulating
200.0,200.0,504.1145935058594,33.27494812011719,121.20208740234375,121.20208740234375,0.0,-26.98970026278422,3.5706924476879887,0.0,1.0,inf,0.744006034599128,2762.6201171875,2744.4296875,2791.364013671875,311.95916748046875,312.2071533203125,92.44916534423828,106.3232650756836,,,0.0,insulating
300.0,300.0,744.7227783203125,44.58161163330078,163.30096435546875,163.30096435546875,0.0,-23.467874449688956,3.5706924476879887,0.0,1.0,inf,0.7408415694352853,2695.72705078125,2657.194580078125,2759.74658203125,312.8857727050781,313.4283142089844,206.76145935058594,234.65164184570312,,,0.0,insulating
400.0,400.0,971.8742065429688,50.02968978881836,184.93829345703125,184.93829345703125,0.0,-20.969100349504597,3.5706924476879887,0.0,1.0,inf,0.7357672654379641,2606.5107421875,2544.95556640625,2716.183837890625,314.1698303222656,315.0752258300781,364.1455078125,405.58251953125,,,0.0,insulating
500.0,500.0000305175781,1181.620361328125,48.6922492980957,184.8135986328125,184.8135986328125,0.0,-19.030898446191294,3.5706924476879887,0.0,1.0,inf,0.7280095232513795,2498.69775390625,2415.02099609375,2660.261474609375,315.8003234863281,317.0989990234375,561.3859252929688,610.5142211914062,,,0.0,insulating
600.0,600.0,1370.619140625,41.02873611450195,171.0985107421875,171.0985107421875,0.0,-17.44727453640933,3.5706924476879887,0.0,1.0,inf,0.7165975534210219,2376.902587890625,2276.69287109375,2592.760986328125,317.75482177734375,319.40838623046875,793.7389526367188,846.2459106445312,,,0.0,insulating
700.0,700.0,1536.55322265625,31.484586715698242,148.501953125,148.501953125,0.0,-16.108339466061803,3.5706924476879887,0.0,1.0,inf,0.7004905596462957,2246.351318359375,2137.681640625,2514.921875,319.99542236328125,321.9101867675781,1054.9832763671875,1112.5638427734375,,,0.0,insulating
800.0,800.0,1677.5955810546875,34.18107223510742,120.2030029296875,120.2030029296875,0.0,-14.948500436224972,3.5706924476879887,0.0,1.0,inf,0.6793343658731643,2111.048095703125,2003.3018798828125,2426.267822265625,322.4875183105469,324.5138854980469,1337.2677001953125,1408.23779296875,,,0.0,insulating
900.0,900.0,1792.898193359375,56.75436019897461,164.010498046875,164.010498046875,0.0,-13.92544991705716,3.5706924476879887,0.0,1.0,inf,0.6536881104980724,1974.264404296875,1869.521240234375,2329.03271484375,325.16717529296875,327.2449645996094,1632.20166015625,1733.897216796875,,,0.0,insulating
