I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_W
390.0,0.0,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,0.36000001430511475,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,0.7200000286102295,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,1.1200000047683716,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,1.4800000190734863,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,1.840000033378601,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,2.240000009536743,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,2.5999999046325684,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,3.0,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,3.3600001335144043,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,3.7200000286102295,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,4.119999885559082,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,4.480000019073486,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,4.840000152587891,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,5.239999771118164,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,5.599999904632568,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,6.0,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,6.360000133514404,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,6.720000267028809,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,7.12000036239624,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,7.479999542236328,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,7.839999675750732,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,8.239999771118164,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,8.59999942779541,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,9.0,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,9.359999656677246,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,9.720000267028809,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,10.119999885559082,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,10.479999542236328,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,10.84000015258789,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,11.239999771118164,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,11.600000381469727,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,12.0,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,12.360000610351562,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,12.720000267028809,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,13.119999885559082,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,13.480000495910645,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,13.880000114440918,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,14.24000072479248,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,14.600000381469727,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,14.999999046325684,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,15.359999656677246,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,15.719999313354492,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,16.119998931884766,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,16.479999542236328,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,16.8799991607666,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,17.239999771118164,0.0,0.0,333.0,1722.5977783203125,0.0
390.0,17.600000381469727,0.0,0.0,333.0,1722.5977783203125,0.0
