I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_uW
0.0,0.0,0.0,0.0,325.0,51780.496,0.0
0.0,12.0,0.0,0.0,325.3148,51028.977,0.0
0.0,24.0,0.0,0.0,325.70685,50076.824,0.0
0.0,36.0,0.0,0.0,321.16083,62523.2,0.0
0.0,48.0,0.0,0.0,321.31607,62046.47,0.0
0.0,59.999996,0.0,0.0,322.34912,58960.484,0.0
0.0,72.0,0.0,0.0,323.62762,55382.082,0.0
0.0,84.0,0.0,0.0,327.00327,46853.457,0.0
0.0,96.0,0.0,0.0,327.39056,45951.195,0.0
0.0,108.0,0.0,0.0,326.07925,49059.43,0.0
0.0,119.99999,0.0,0.0,324.8575,52146.332,0.0
0.0,132.0,0.0,0.0,325.3936,50878.953,0.0
0.0,144.0,0.0,0.0,323.06253,56984.016,0.0
0.0,156.0,0.0,0.0,324.68546,52655.23,0.0
0.0,168.0,0.0,0.0,325.89706,49672.203,0.0
0.0,180.0,0.0,0.0,326.30624,48709.28,0.0
0.0,192.0,0.0,0.0,326.84952,47464.45,0.0
0.0,204.0,0.0,0.0,324.9409,52009.86,0.0
0.0,216.0,0.0,0.0,326.15634,49022.426,0.0
0.0,228.0,0.0,0.0,325.352,50890.477,0.0
0.0,239.99998,0.0,0.0,323.97546,54415.375,0.0
0.0,252.0,0.0,0.0,324.60803,52760.69,0.0
0.0,264.0,0.0,0.0,326.88455,47235.293,0.0
0.0,276.0,0.0,0.0,325.3588,50863.203,0.0
0.0,288.0,0.0,0.0,323.37155,56077.16,0.0
0.0,300.0,0.0,0.0,323.508,55707.293,0.0
0.0,312.0,0.0,0.0,323.31674,56236.664,0.0
0.0,324.0,0.0,0.0,321.00464,63021.508,0.0
0.0,336.0,0.0,0.0,326.49536,48034.188,0.0
0.0,348.0,0.0,0.0,327.00616,46822.1,0.0
0.0,360.0,0.0,0.0,326.29602,48268.324,0.0
0.0,372.0,0.0,0.0,330.83624,38016.312,0.0
0.0,384.0,0.0,0.0,329.2055,41485.06,0.0
0.0,396.0,0.0,0.0,327.27637,45813.004,0.0
0.0,408.0,0.0,0.0,329.77136,40076.383,0.0
0.0,420.0,0.0,0.0,327.75272,44441.88,0.0
0.0,432.0,0.0,0.0,327.76617,44487.887,0.0
0.0,444.0,0.0,0.0,328.83728,42308.566,0.0
0.0,456.0,0.0,0.0,325.1535,50868.61,0.0
0.0,468.0,0.0,0.0,322.96335,56628.145,0.0
0.0,479.99997,0.0,0.0,320.93433,62670.445,0.0
0.0,492.00003,0.0,0.0,320.38956,64380.258,0.0
0.0,504.0,0.0,0.0,323.31183,55660.76,0.0
0.0,516.0,0.0,0.0,323.40298,55424.227,0.0
0.0,528.0,0.0,0.0,322.80634,57077.48,0.0
0.0,540.0,0.0,0.0,324.47513,52591.66,0.0
0.0,552.0,0.0,0.0,317.9819,73243.15,0.0
0.0,564.0,0.0,0.0,322.87915,57140.062,0.0
0.0,576.0,0.0,0.0,319.49017,67723.69,0.0
0.0,588.0,0.0,0.0,318.43723,71421.82,0.0
0.0,600.0,0.0,0.0,318.81412,70102.03,0.0
0.0,612.0,0.0,0.0,321.31924,61803.816,0.0
0.0,624.0,0.0,0.0,320.15817,65486.203,0.0
0.0,636.0,0.0,0.0,317.50903,75077.63,0.0
0.0,648.0,0.0,0.0,318.93213,69841.62,0.0
0.0,660.0,0.0,0.0,316.15164,80580.23,0.0
0.0,672.0,0.0,0.0,316.58505,78775.836,0.0
0.0,684.0,0.0,0.0,314.29514,88691.1,0.0
0.0,696.0,0.0,0.0,315.28705,84238.72,0.0
0.0,708.0,0.0,0.0,315.86838,81744.88,0.0
0.0,720.0,0.0,0.0,314.46573,87899.055,0.0
0.0,732.0,0.0,0.0,315.0952,85074.98,0.0
0.0,744.0,0.0,0.0,313.30786,93389.12,0.0
0.0,756.0,0.0,0.0,312.30072,98476.69,0.0
0.0,768.0,0.0,0.0,311.36505,103485.97,0.0
0.0,780.0,0.0,0.0,312.3939,97992.69,0.0
0.0,792.0,0.0,0.0,312.82788,95772.35,0.0
0.0,804.0,0.0,0.0,312.4769,97562.445,0.0
0.0,816.0,0.0,0.0,306.1342,137501.08,0.0
0.0,828.0,0.0,0.0,306.47452,134958.6,0.0
0.0,840.0,0.0,0.0,310.545,108206.1,0.0
0.0,852.0,0.0,0.0,312.28552,98641.266,0.0
0.0,864.0,0.0,0.0,313.18704,94074.72,0.0
0.0,876.0,0.0,0.0,315.30444,84239.82,0.0
0.0,888.0,0.0,0.0,313.27435,93661.12,0.0
0.0,900.0,0.0,0.0,313.19345,94059.92,0.0
0.0,912.0,0.0,0.0,312.8414,95817.76,0.0
0.0,924.0,0.0,0.0,315.24066,84528.74,0.0
0.0,936.0,0.0,0.0,316.45355,79405.06,0.0
0.0,948.0,0.0,0.0,317.45627,75437.77,0.0
0.0,959.99994,0.0,0.0,318.55255,71357.11,0.0
0.0,971.99994,0.0,0.0,314.0471,89937.91,0.0
0.0,984.00006,0.0,0.0,314.63934,87206.87,0.0
0.0,996.00006,0.0,0.0,316.95584,77392.76,0.0
0.0,1008.0,0.0,0.0,318.46603,71673.7,0.0
0.0,1020.0,0.0,0.0,318.09424,73035.805,0.0
0.0,1032.0,0.0,0.0,317.41162,75613.78,0.0
0.0,1044.0,0.0,0.0,315.52185,83312.82,0.0
0.0,1056.0,0.0,0.0,312.0438,99935.13,0.0
0.0,1068.0,0.0,0.0,310.7854,106843.016,0.0
0.0,1080.0,0.0,0.0,314.8619,86126.836,0.0
0.0,1092.0,0.0,0.0,318.5447,71258.02,0.0
0.0,1104.0,0.0,0.0,319.5151,67856.32,0.0
0.0,1116.0,0.0,0.0,320.0134,66181.266,0.0
0.0,1128.0,0.0,0.0,320.67047,64045.406,0.0
0.0,1140.0,0.0,0.0,321.32812,61985.65,0.0
0.0,1152.0,0.0,0.0,319.46414,68037.46,0.0
0.0,1164.0,0.0,0.0,321.4791,61523.64,0.0
0.0,1176.0,0.0,0.0,324.87335,52106.02,0.0
0.0,1188.0,0.0,0.0,323.52896,55660.914,0.0
0.0,1200.0,0.0,0.0,327.26642,46472.324,0.0
0.0,1212.0,0.0,0.0,328.35065,44151.496,0.0
0.0,1224.0,0.0,0.0,328.40793,44029.965,0.0
0.0,1236.0,0.0,0.0,328.00153,44881.375,0.0
0.0,1248.0,0.0,0.0,328.72946,43368.52,0.0
0.0,1260.0,0.0,0.0,328.43375,43975.41,0.0
0.0,1272.0,0.0,0.0,333.80988,34289.363,0.0
0.0,1284.0,0.0,0.0,336.00967,31072.139,0.0
0.0,1296.0,0.0,0.0,334.0462,33927.35,0.0
0.0,1308.0,0.0,0.0,337.49088,29105.068,0.0
0.0,1320.0,0.0,0.0,329.21228,42367.867,0.0
0.0,1332.0,0.0,0.0,324.24304,53721.74,0.0
0.0,1344.0,0.0,0.0,322.62714,58142.23,0.0
0.0,1356.0,0.0,0.0,324.1592,53956.51,0.0
0.0,1368.0,0.0,0.0,329.2059,42387.824,0.0
0.0,1380.0,0.0,0.0,328.3897,44026.617,0.0
0.0,1392.0,0.0,0.0,329.16266,42469.438,0.0
0.0,1404.0,0.0,0.0,331.1771,38675.625,0.0
0.0,1416.0,0.0,0.0,327.19928,46591.53,0.0
0.0,1428.0,0.0,0.0,323.5377,55621.215,0.0
0.0,1440.0,0.0,0.0,325.8793,49673.19,0.0
0.0,1452.0,0.0,0.0,324.28214,53651.875,0.0
0.0,1464.0,0.0,0.0,329.43787,41812.01,0.0
0.0,1476.0,0.0,0.0,331.65488,37716.406,0.0
0.0,1488.0,0.0,0.0,332.72272,35914.652,0.0
0.0,1500.0,0.0,0.0,330.3606,40039.203,0.0
0.0,1512.0,0.0,0.0,327.39984,46026.285,0.0
0.0,1524.0,0.0,0.0,328.37643,43951.973,0.0
0.0,1536.0,0.0,0.0,329.57254,41548.55,0.0
0.0,1548.0,0.0,0.0,328.67432,43335.617,0.0
