I_target_uA,I_avg_uA,V_avg_mV,V_pp_mV,dominant_freq_MHz,n_cycles,period_cv,persistence_ratio,T_mean_K,T_max_K,R_mean_ohm,R_min_ohm,R_max_ohm,oscillatory,regime
0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,325.0,325.0,51780.49609375,51780.49609375,51780.49609375,0.0,insulating
25.0,24.9999942779541,1097.5758550889054,430.99697828292847,0.0,0.0,inf,0.8172639040807552,325.1142272949219,325.1453552246094,51487.0625,51407.23828125,51637.61328125,0.0,insulating
50.0,49.9999885559082,2172.161790478409,823.9869928359984,0.0,0.0,inf,0.8154210938840017,325.4641418457031,325.58526611328125,50596.828125,50290.73828125,51198.86328125,0.0,insulating
75.0,75.0,3201.10021040947,1143.5307788848875,0.0,0.0,inf,0.8128782370816778,326.0390625,326.2931823730469,49159.44140625,48530.078125,50471.5078125,0.0,insulating
100.0,99.9999771118164,4161.488428638218,1359.0796184539795,0.0,0.0,inf,0.8106995331623312,326.82855224609375,327.22906494140625,47226.18359375,46253.98828125,49431.703125,0.0,insulating
125.0,125.0000228881836,5029.985554396699,1444.769449234009,0.0,0.0,inf,0.8106024785384188,327.8128356933594,328.333740234375,44852.703125,43600.421875,48104.5234375,0.0,insulating
150.0,150.0,5780.123343329173,1381.3694190978997,0.0,0.0,inf,0.8155179545984959,328.9580078125,329.5285949707031,42078.3515625,40685.52734375,46443.55078125,0.0,insulating
175.0,174.99996948242188,6378.785376270363,1157.3504638671857,0.0,0.0,inf,0.832297396409026,330.20831298828125,330.72174072265625,38914.04296875,37592.65234375,44414.890625,0.0,insulating
200.0,199.9999542236328,6787.170357256756,784.153480529783,0.0,0.0,inf,0.8741036565242548,331.48077392578125,331.8423767089844,35374.2265625,34355.0390625,41936.25,0.0,insulating
225.0,225.00001525878906,6894.463657610986,365.5806350708,0.0,0.0,inf,0.905426510038255,332.6094665527344,333.2189636230469,31060.21484375,29678.111328125,38735.90625,0.0,transient/noisy switching
250.0,250.0000457763672,5625.512910792512,6411.0583901405325,0.1848087359528777,1.0,0.0,0.5047161053255296,332.14361572265625,371.86175537109375,29538.44921875,1286.00048828125,44162.59765625,0.0,transient/noisy switching
275.0,275.0000305175781,4290.82266892084,6190.518224239348,0.18367159694976404,2.0,0.4566994905471802,0.9944182595476672,331.89593505859375,375.17474365234375,30682.583984375,1286.00048828125,43845.5546875,0.0,transient/noisy switching
300.0,300.0,4454.431812558981,6238.547258377074,0.15011633418778364,2.0,7.495497266063467e-05,0.9802983628610441,330.7052307128906,370.9566345214844,32886.44921875,1286.00048828125,43508.76171875,0.0,transient/noisy switching
325.0,324.99993896484375,4345.229307371182,6347.908444404604,0.17011141255665774,2.0,8.501613046973944e-05,0.9996714989237017,331.9593811035156,372.9833679199219,30671.134765625,1286.00048828125,43156.11328125,0.0,transient/noisy switching
350.0,349.99993896484375,4416.809712338531,6409.8157477378845,0.18818213746392892,3.0,1.6386428569603595e-07,0.999666187451977,332.0332336425781,374.65802001953125,30635.7265625,1286.00048828125,42747.61328125,0.0,transient/noisy switching
375.0,375.0,4392.050124871638,6479.424250125886,0.20831885953043966,3.0,0.023175757378339767,1.0048621557160606,333.5581970214844,376.0955810546875,28007.087890625,1286.00048828125,42363.18359375,0.0,transient/noisy switching
400.0,399.9999084472656,4243.906774601535,6523.594586849212,0.22926576881955962,4.0,0.06694450229406357,0.9997459864081358,333.5061340332031,377.3943176269531,28150.6640625,1286.00048828125,41962.88671875,0.0,transient/noisy switching
425.0,425.0000305175781,4377.697958356042,6566.384191513061,0.25087809319514914,4.0,0.11196483671665192,0.9996573096948603,333.84771728515625,378.5959167480469,27489.158203125,1286.00048828125,41546.49609375,0.0,transient/noisy switching
450.0,450.0000305175781,4131.042619498794,6608.0024790763855,0.2732240476306855,4.0,0.16216284036636353,0.999685085176399,335.1556701660156,379.71502685546875,25522.005859375,1286.00048828125,41114.2109375,0.0,transient/noisy switching
475.0,475.0000305175781,4051.6396269361994,6634.989995956421,0.2886336074057429,5.0,0.19159503281116486,0.999775415876717,335.11767578125,380.7420654296875,25702.9921875,1286.00048828125,40663.7578125,1.0,oscillatory
500.0,500.0000915527344,4171.05416209292,6657.511358261108,0.27635759459485953,4.0,0.00013824028428643942,1.0003343180067714,335.1527099609375,381.68096923828125,25327.169921875,1286.00048828125,40195.55859375,0.0,transient/noisy switching
525.0,525.0,4044.3450297112527,6678.647651672366,0.28876698530744427,4.0,2.2744602290458715e-07,0.959126501507098,335.8167419433594,382.5632019042969,23962.568359375,1286.00048828125,39707.4765625,0.0,transient/noisy switching
550.0,550.0000610351562,4058.2571022577145,6688.547992706298,0.30066146950560646,5.0,2.20462453626169e-07,0.9444104017373682,335.699462890625,383.4082336425781,24333.587890625,1286.00048828125,39199.40625,1.0,oscillatory
575.0,575.0,4205.280295928766,6694.637591838835,0.31212935553378984,5.0,0.000124793776194565,0.9939993174879098,335.9122009277344,384.1582946777344,24141.224609375,1286.00048828125,38670.89453125,1.0,oscillatory
