T0_K,S_e_mW_per_K,assumed_tau_th_ns,C_th_pJ_per_K
298.0,0.0015745979353740207,10.0,0.015745979353740207
298.0,0.0015745979353740207,20.0,0.031491958707480415
298.0,0.0015745979353740207,50.0,0.07872989676870104
298.0,0.0015745979353740207,100.0,0.15745979353740208
325.0,0.005128841192908288,10.0,0.05128841192908288
325.0,0.005128841192908288,20.0,0.10257682385816576
325.0,0.005128841192908288,50.0,0.2564420596454144
325.0,0.005128841192908288,100.0,0.5128841192908288
330.0,0.008812550180958533,10.0,0.08812550180958534
330.0,0.008812550180958533,20.0,0.17625100361917068
330.0,0.008812550180958533,50.0,0.4406275090479267
330.0,0.008812550180958533,100.0,0.8812550180958534
333.0,0.015486166552466901,10.0,0.154861665524669
333.0,0.015486166552466901,20.0,0.309723331049338
333.0,0.015486166552466901,50.0,0.7743083276233451
333.0,0.015486166552466901,100.0,1.5486166552466902
