Temperature,Resistance,Time,Current,V+,V-,T+,T-,model_resistance_ohm,log10_residual
369.823,17.6701,161.6042,2e-06,5.417629e-05,-1.650411e-05,369.818,369.828,18.215269944402127,0.013196604422490266
369.804,17.51626,166.1829,2e-06,5.370945e-05,-1.635557e-05,369.82,369.788,18.21526994481813,0.01699422878565504
369.6375,17.56282,170.7725,2e-06,5.363401e-05,-1.661728e-05,369.692,369.583,18.21526994867992,0.01584136153048643
369.2775,17.52333,175.3441,2e-06,5.313416e-05,-1.695916e-05,369.371,369.184,18.215269958518384,0.01681897237963259
368.758,17.54455,179.9138,2e-06,5.274752e-05,-1.74307e-05,368.883,368.633,18.215269977183382,0.01629337903165151
368.0925,17.48208,184.4999,2e-06,5.206381e-05,-1.786452e-05,368.241,367.944,18.215270011744007,0.017842510048921456
367.3375,17.5145,189.0836,2e-06,5.174079e-05,-1.831722e-05,367.5,367.175,18.21527007264671,0.01703787109721011
366.5325,17.56165,193.6717,2e-06,5.137533e-05,-1.887129e-05,366.702,366.363,18.21527017787351,0.01587029978993959
365.715,17.4544,198.2373,2e-06,5.084256e-05,-1.897503e-05,365.895,365.535,18.215270354261637,0.01853069709165811
364.8995,17.51628,202.8168,2e-06,5.055251e-05,-1.95126e-05,365.068,364.731,18.215270645556313,0.016993749617358
364.1005,17.50215,207.4017,2e-06,4.978633e-05,-2.022228e-05,364.262,363.939,18.215271115203198,0.01734423805566543
363.3375,17.49448,211.9893,2e-06,4.940671e-05,-2.057122e-05,363.491,363.184,18.21527184105844,0.01753461876127904
362.613,17.56817,216.5735,2e-06,4.909786e-05,-2.117481e-05,362.759,362.467,18.21527293122268,0.015709157661458972
361.9245,17.50628,221.1467,2e-06,4.875366e-05,-2.127147e-05,362.063,361.786,18.21527453284594,0.017241850722361507
361.2825,17.5446,225.7172,2e-06,4.852968e-05,-2.164872e-05,361.415,361.15,18.2152767833112,0.016292303616761483
360.6515,17.55108,230.2873,2e-06,4.81548e-05,-2.204953e-05,360.78,360.523,18.215280060355305,0.016132007123229375
360.0375,17.57231,234.8762,2e-06,4.818548e-05,-2.210376e-05,360.163,359.912,18.215284743623346,0.01560710835715251
359.434,17.53813,239.4486,2e-06,4.744518e-05,-2.270734e-05,359.558,359.31,18.2152914481927,0.016452839502917094
358.8455,17.64069,244.0183,2e-06,4.732491e-05,-2.323784e-05,358.97,358.721,18.215300895600915,0.01392078150439846
358.24,17.6065,248.6049,2e-06,4.707027e-05,-2.335572e-05,358.366,358.114,18.21531495938059,0.014763653937999388
357.628,17.58412,253.1908,2e-06,4.649739e-05,-2.383907e-05,357.755,357.501,18.21533567261741,0.015316539977804133
357.011,17.65603,257.7809,2e-06,4.656814e-05,-2.405598e-05,357.139,356.883,18.215366210602703,0.0135448488539891
356.39,17.69788,262.349,2e-06,4.618856e-05,-2.460298e-05,356.519,356.261,18.215411284422213,0.012517735537358021
355.7805,17.67017,266.9242,2e-06,4.569576e-05,-2.498493e-05,355.909,355.652,18.215475993262206,0.01319979662798132
355.1585,17.81459,271.5055,2e-06,4.581601e-05,-2.544233e-05,355.287,355.03,18.215572663891823,0.009666997624753648
354.5435,17.80634,276.0813,2e-06,4.52832e-05,-2.594217e-05,354.67,354.417,18.215712779022333,0.009871508131914952
353.932,17.76155,280.6549,2e-06,4.471737e-05,-2.632883e-05,354.058,353.806,18.215916366315017,0.010970160918699623
353.3345,17.84761,285.2237,2e-06,4.490362e-05,-2.64868e-05,353.461,353.208,18.2162054452386,0.00887784835457417
352.723,17.99791,289.8114,2e-06,4.463956e-05,-2.735209e-05,352.849,352.597,18.21663562674924,0.005246095797506012
352.11,17.97434,294.3924,2e-06,4.436373e-05,-2.753365e-05,352.237,351.983,18.217265553107797,0.0058302366013454066
351.496,18.0492,298.9607,2e-06,4.402654e-05,-2.817024e-05,351.623,351.369,18.21818795986222,0.004047221139314994
350.8945,18.21366,303.5371,2e-06,4.415388e-05,-2.870074e-05,351.022,350.767,18.219504014734778,0.00013932489487955557
350.278,18.23134,308.1086,2e-06,4.381438e-05,-2.911098e-05,350.405,350.151,18.22147118565979,-0.00023515177985933278
349.6615,18.30502,312.6995,2e-06,4.366114e-05,-2.955895e-05,349.789,349.534,18.224352707343535,-0.0019180957361981665
349.0455,18.47655,317.2838,2e-06,4.356447e-05,-3.034173e-05,349.173,348.918,18.22856964152007,-0.005868289816907124
348.436,18.70701,321.8513,2e-06,4.374365e-05,-3.108439e-05,348.57,348.302,18.234667025119084,-0.011106541129408232
347.828,18.87737,326.4303,2e-06,4.383562e-05,-3.167385e-05,347.955,347.701,18.243534739362836,-0.014832500159963846
347.2145,19.08189,331.0135,2e-06,4.389217e-05,-3.24354e-05,347.341,347.088,18.256598720562092,-0.019201518087976766
346.603,19.23928,335.6017,2e-06,4.405488e-05,-3.290223e-05,346.729,346.477,18.275628515665943,-0.022316493540114335
345.992,19.42435,340.1864,2e-06,4.40525e-05,-3.364491e-05,346.118,345.866,18.30339667383625,-0.02581480294701577
345.3815,19.82222,344.7572,2e-06,4.473152e-05,-3.455737e-05,345.507,345.256,18.343904434984857,-0.0336605127002676
344.784,20.02086,349.3301,2e-06,4.476686e-05,-3.531657e-05,344.91,344.658,18.401531435786417,-0.03662876082484057
344.174,20.42697,353.916,2e-06,4.525254e-05,-3.645535e-05,344.3,344.048,18.48707854023484,-0.043335664797917506
343.563,20.75882,358.501,2e-06,4.543881e-05,-3.759649e-05,343.689,343.437,18.612168924160766,-0.04740567760448
342.953,21.21917,363.0704,2e-06,4.597872e-05,-3.889798e-05,343.079,342.827,18.794471692734426,-0.05269826989313264
342.356,21.71841,367.6399,2e-06,4.670955e-05,-4.016409e-05,342.482,342.23,19.053717816075984,-0.05684829841224426
341.7455,22.35324,372.2203,2e-06,4.770924e-05,-4.17037e-05,341.872,341.619,19.439148590217933,-0.06066324156584679
341.1345,23.23795,376.8063,2e-06,4.923697e-05,-4.371483e-05,341.261,341.008,20.00217786297476,-0.06512052813688562
340.5235,24.08555,381.3723,2e-06,5.046534e-05,-4.587686e-05,340.65,340.397,20.823881929793064,-0.06319487531121659
339.9245,25.232,385.9387,2e-06,5.223828e-05,-4.86897e-05,340.051,339.798,21.994491873237752,-0.05963774282484513
339.3125,26.56409,390.518,2e-06,5.455818e-05,-5.169817e-05,339.439,339.186,23.732893558029822,-0.04894425154568749
338.699,28.42491,395.1033,2e-06,5.763258e-05,-5.606706e-05,338.826,338.572,26.27453812799169,-0.034164007844192934
338.085,30.92703,399.6742,2e-06,6.231253e-05,-6.139559e-05,338.212,337.958,29.982190275936457,-0.013474859623419766
337.484,34.21897,404.2477,2e-06,6.822552e-05,-6.865035e-05,337.611,337.357,35.24117787834325,0.012783482536902868
336.869,39.02398,408.8388,2e-06,7.687107e-05,-7.922484e-05,336.996,336.742,43.02616219768143,0.04240104967666669
