parameter,estimate,ci95_lower,ci95_upper,status
R0,0.7989227061673402,0.3773803655332552,1.8482708235643621,fitted
Ea_over_k,2536.9654457644647,2272.5528659658266,2767.5180703285405,fitted
Rm0,18.21526990911648,17.494277999279635,18.900968756593144,fitted
Rm_factor,1.0,,,fixed or conventional
w,6.882302959338694,6.629054255675719,7.268147836329526,fitted
Tc_K,333.49356636598696,333.1368880516553,333.8383134999961,fitted
beta,0.2991563242902104,0.28091741375362467,0.320206095383966,fitted
gamma,0.956269682,,,fixed or conventional
width_factor,1.0,,,fixed or conventional
T_min_K,284.8545,,,fixed or conventional
T_max_K,375.1625,,,fixed or conventional
reversal_threshold_K,0.01,,,fixed or conventional
