T0_K,S_e_mW_per_K,assumed_tau_th_ns,C_th_pJ_per_K
298.0,0.0015855092522176764,10.0,0.015855092522176765
298.0,0.0015855092522176764,20.0,0.03171018504435353
298.0,0.0015855092522176764,50.0,0.07927546261088382
298.0,0.0015855092522176764,100.0,0.15855092522176764
325.0,0.005172418499968145,10.0,0.05172418499968145
325.0,0.005172418499968145,20.0,0.1034483699993629
325.0,0.005172418499968145,50.0,0.2586209249984072
325.0,0.005172418499968145,100.0,0.5172418499968144
330.0,0.008901783280979361,10.0,0.08901783280979361
330.0,0.008901783280979361,20.0,0.17803566561958722
330.0,0.008901783280979361,50.0,0.44508916404896803
330.0,0.008901783280979361,100.0,0.8901783280979361
333.0,0.01568888997845679,10.0,0.15688889978456788
333.0,0.01568888997845679,20.0,0.31377779956913576
333.0,0.01568888997845679,50.0,0.7844444989228394
333.0,0.01568888997845679,100.0,1.5688889978456788
