bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
0.0,"1,2,2",17.0,33.0,314.3236909598247,0.003441976926357412,0.04239340837525049,12.31658703189354,0.9204731731396886
1.0,"0,1,2",14.0,36.0,314.3678180957839,0.003607041697529854,0.029743484839709088,8.245949820895552,1.4858365092925063
2.0,"2,2,2",15.0,34.0,314.4425524310911,0.0036747283006003696,0.05080537956510897,13.825615231691685,1.2119246027681503
3.0,"2,1,1",16.0,35.0,314.3141483982378,0.003819663225359993,0.03653142022892538,9.564042187379593,1.1331423390462247
4.0,"2,2,0",16.0,35.0,314.3409758959977,0.003688904685338499,0.04831026512035942,13.096100127598284,1.10407307427668
5.0,"0,0,1",14.0,33.0,314.53904490592504,0.0036758936759390785,0.04253447001546772,11.571191597265518,1.1518003607114133
6.0,"0,0,0",15.0,35.0,314.39848400333887,0.0034948010454847237,0.03989017706255859,11.414148199965952,1.2490343127795016
7.0,"1,2,1",16.0,33.0,314.33059783632706,0.0035369164415580256,0.05848753597417256,16.536306961328318,0.88494500871673
8.0,"0,2,1",14.0,35.0,314.4531917534624,0.0034826542212860446,0.07751193685446388,22.256569825597253,1.4200406693449152
9.0,"2,1,1",14.0,36.0,314.40326809111997,0.003741666667110321,0.03765898319373072,10.064761654146666,1.2445145091806624
10.0,"1,1,2",13.0,33.0,314.46115271017965,0.003758057295706329,0.05163299643655,13.7392786681411,1.3324916479674964
11.0,"2,1,2",16.0,37.0,314.36767883471583,0.0034575849341142383,0.034713669515378784,10.039860242586263,1.1806329446052664
12.0,"1,0,0",14.0,35.0,314.31658126978834,0.0034854861449770337,0.06292339910973364,18.052976397686486,1.2467669772577783
13.0,"0,0,1",14.0,36.0,314.3439606516724,0.0034952196187928142,0.05244552680418939,15.004930311733352,1.431361635355464
14.0,"1,1,1",17.0,34.0,314.44335430074534,0.004002658232761011,0.028539611117268337,7.130164370187028,1.1687737607963937
15.0,"1,2,0",15.0,34.0,314.46740213980826,0.003542591887856829,0.03657517566118386,10.324411283883686,1.2222647997904066
16.0,"2,0,1",14.0,36.0,314.44144913298754,0.0036148543546513233,0.08309378878312701,22.986759805746573,1.403232731141949
17.0,"1,2,2",17.0,33.0,314.3318120814939,0.003444817453620638,0.030926417660991065,8.97766516727503,1.0252485398449573
18.0,"0,0,1",17.0,35.0,314.40393980714816,0.0035009416094568123,0.026355747938218543,7.528188378528188,1.1437606385146402
19.0,"0,1,0",14.0,35.0,314.41295310399977,0.0035517129491253797,0.036715192360723854,10.337319734626945,1.3711069044180886
20.0,"0,2,1",16.0,37.0,314.3027185106012,0.003544346714921313,0.04214043706240267,11.88947934607978,1.0778955909462886
21.0,"2,0,2",17.0,33.0,314.31658126978834,0.0034854861449770337,0.05234351543494138,15.01756519972805,0.8936231367712689
22.0,"1,0,1",13.0,37.0,314.25411642974166,0.0036833443552979467,0.021377325306519833,5.803781358582916,1.555881046555347
23.0,"2,1,2",17.0,33.0,314.3770672899562,0.0035410912047088993,0.05779392533343353,16.32093668092476,1.0299253336058252
24.0,"1,1,0",16.0,34.0,314.5349631195812,0.003657819278573737,0.07209026698068319,19.708537106511383,1.007185685634322
25.0,"1,2,0",17.0,37.0,314.27924580174505,0.0037343137615189386,0.05547071840106743,14.854327178577684,1.0746047725948114
26.0,"2,2,1",14.0,33.0,314.4404011316397,0.003665774334784877,0.03767052695492227,10.27628094764675,1.1000408563471502
27.0,"2,2,0",16.0,35.0,314.5305194534736,0.003537126612696315,0.03673424938478185,10.385336293285727,1.194053211466467
28.0,"1,0,2",14.0,36.0,314.2945441805584,0.0034876131348461187,0.04656794327888037,13.352382124497032,1.221701392478414
29.0,"2,1,0",14.0,33.0,314.4031629444256,0.003875826551744041,0.06411833533677318,16.543138471436826,1.1919243261136219
30.0,"2,2,0",15.0,33.0,314.4572328689048,0.004122522937081061,0.048440777962693006,11.750274941342434,1.2619702774587471
31.0,"1,0,2",16.0,35.0,314.39669725670683,0.003634538236637061,0.06177042327624611,16.995397834471703,1.3330182874447558
32.0,"0,0,2",13.0,36.0,314.3721198724573,0.003636699291394721,0.05347804673801223,14.705105496226691,1.3044568200010471
33.0,"0,1,1",14.0,37.0,314.54281222240775,0.00357624201957293,0.05130765397372241,14.346806981438437,1.1195082172023276
