fit_mode,trace_index,split,source_file,nominal_drive_mV,current_step_uA,measured_oscillation,predicted_oscillation,measured_frequency_MHz,predicted_frequency_MHz,measured_mean_mV,predicted_mean_mV,measured_vpp_mV,predicted_vpp_mV,phase_tolerant_plateau_rmse_mV,edge_rmse_mV,waveform_component,mean_voltage_component,amplitude_component,spectrum_component,frequency_component,classification_component,edge_component
baseline,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,88.34135940298506,95.63245067474865,4.506659999999982,3.2816565884650686,7.350163327822011,6.019120391181968,0.14700326655644022,0.021264004773274885,0.0006002533433088709,0.0,0.0,0.0,0.060191203911819674
baseline,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,170.70984975124378,178.39728761451693,6.653399999999976,3.0975046193703974,7.7983268807860595,9.145891772784195,0.15596653761572118,0.023638680360674236,0.005057756783193112,0.0,0.0,0.0,0.09145891772784194
baseline,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,239.83873747761194,243.11971619613033,5.800000000000011,3.442671249375877,3.6181434073522074,9.3695824050154,0.07236286814704415,0.0043059285405482135,0.0022227995354076567,0.0,0.0,0.0,0.093695824050154
baseline,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,297.36232073134323,290.83694344508416,7.720000000000027,4.466986113573114,6.7314708950017845,13.107797663759984,0.13462941790003569,0.017032219491210327,0.0042328397381145326,0.0,0.0,0.0,0.13107797663759985
baseline,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,318.8617590398009,319.5278642545239,14.14670000000001,8.030357961311381,1.8852403621621403,26.999598110622102,0.03770480724324281,0.00017747846283244884,0.01496385597369191,0.0,0.0,0.0,0.26999598110622103
baseline,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,False,41.666666666666664,,235.10242222388064,315.10252136972156,100.10669999999999,4.5497532726010945,32.26952662649372,85.59981961167271,0.6453905325298744,2.560006345337751,3.65245202714518,1.4532887734133324,4.0,1.0,0.8559981961167271
baseline,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,False,41.666666666666664,,192.0122066318408,291.8787452321419,130.3466,3.4094429837791154,36.87779492172495,99.26788769930496,0.737555898434499,3.989330212802173,6.445216732544286,1.564638680321077,4.0,1.0,0.9926788769930497
baseline,7,test,400mv0_converted.csv,400.0,303.2005083702369,True,False,45.45454545454545,,190.9832810945274,267.9869482288075,90.2534,2.265781385500418,28.63796433489429,104.96736346910068,0.5727592866978858,2.3718259008508022,3.0967284117802536,1.7721306621971646,4.0,1.0,1.0496736346910067
baseline,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,False,50.0,,186.9897857363184,245.09207726140846,68.8133,2.5853803746436768,21.12746848192729,111.85015517898562,0.42254936963854584,1.3503505121866213,1.754454935161063,1.7137529895345438,4.0,1.0,1.1185015517898562
baseline,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,False,52.63157894736842,,187.0197034825871,225.19214500360965,58.51999999999998,2.33657330528942,16.6442168362529,109.91485692272076,0.332884336725058,0.582854116670355,1.262630974063966,1.6010468578640376,4.0,1.0,1.0991485692272076
