fit_mode,dt_ns,objective_total,classification_matches,predicted_oscillating_traces
baseline,0.1,1277.0525520701394,11,0
baseline,0.05,1277.0661563114284,11,0
baseline,0.025,1276.954362798396,11,0
baseline,0.0125,1277.000728138057,11,0
constrained,0.1,1268.7612817102656,11,0
constrained,0.05,1150.1480546892944,12,1
constrained,0.025,1267.1642083628483,11,0
constrained,0.0125,1270.1807307334147,11,0
relaxed,0.1,123.99513346333775,21,10
relaxed,0.05,123.27597915252024,21,10
relaxed,0.025,464.251555758355,19,10
relaxed,0.0125,464.32741303625494,19,10
