fit_mode,trace_index,split,source_file,nominal_drive_mV,current_step_uA,measured_oscillation,predicted_oscillation,measured_frequency_MHz,predicted_frequency_MHz,measured_target_harmonic_amplitude_mV,predicted_target_harmonic_amplitude_mV,measured_mean_mV,predicted_mean_mV,measured_vpp_mV,predicted_vpp_mV,phase_tolerant_plateau_rmse_mV,edge_rmse_mV,waveform_component,mean_voltage_component,amplitude_component,relative_amplitude_component,spectrum_component,frequency_component,classification_component,false_positive_component,sustain_component,edge_component
baseline,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,,,88.34135940298506,95.6319747747702,4.506659999999982,3.291819284819141,7.350037657457789,6.01881084195156,0.14700075314915578,0.021261228999723887,0.0005903351853044392,0.0,0.0,0.0,0.0,0.0,0.0,0.0601881084195156
baseline,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,,,170.70984975124378,178.3962201304378,6.653399999999976,3.1179490419330875,7.797594220008901,9.110033437186667,0.15595188440017801,0.02363211584246047,0.004999765390758432,0.0,0.0,0.0,0.0,0.0,0.0,0.09110033437186667
baseline,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,,,239.83873747761194,243.1196432397265,5.800000000000011,3.4881942242347748,3.6233983453194076,9.314894837989089,0.07246796690638815,0.004305737047950639,0.002137778377944603,0.0,0.0,0.0,0.0,0.0,0.0,0.09314894837989089
baseline,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,,,297.36232073134323,290.8372457618158,7.720000000000027,4.4759268409500805,6.733816717701194,13.028508835632264,0.13467633435402387,0.01703064134318147,0.004209604264507321,0.0,0.0,0.0,0.0,0.0,0.0,0.13028508835632263
baseline,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,,,318.8617590398009,319.49263746899,14.14670000000001,8.006814141186794,1.883728835669233,26.915146865764324,0.03767457671338466,0.00015920303696642608,0.015079279343701799,0.0,0.0,0.0,0.0,0.0,0.0,0.2691514686576432
baseline,5,train,300mv0_converted.csv,300.0,228.15229898524512,True,False,41.666666666666664,,44.923890533411225,0.11855186616760785,235.10242222388064,315.1175909174559,100.10669999999999,4.579884013730805,32.25967911726909,85.5306376273038,0.6451935823453817,2.560970888424524,3.6501490289898135,6.8134910780467886,1.43020007024721,4.0,1.0,0.0,3.216884564922022,0.8553063762730381
baseline,6,train,350mv0_converted.csv,350.0,266.70376233691485,True,False,41.666666666666664,,50.79860282459164,0.06773785887592068,192.0122066318408,292.34789313782744,130.3466,3.211526461844528,36.883377578342106,99.17908790615411,0.7376675515668422,4.026899994651053,6.46533076942088,9.403698731903939,1.603879387630736,4.0,1.0,0.0,4.123648965402963,0.9917908790615411
baseline,7,test,400mv0_converted.csv,400.0,303.2005083702369,True,False,45.45454545454545,,40.372007281876584,0.10496817905403165,190.9832810945274,267.7548271709828,90.2534,2.749740752438413,28.611681957714882,104.85319440307599,0.5722336391542977,2.3575481147877273,3.0627561526853477,7.762719596084548,1.6722796964451554,4.0,1.0,0.0,2.59505388752546,1.0485319440307599
baseline,8,train,450mv0_converted.csv,450.0,341.5718172250129,True,False,50.0,,29.485877059598405,0.03502959143872832,186.9897857363184,245.10495542157258,68.8133,2.4147912822500643,21.13005152157848,111.72469586224405,0.4226010304315696,1.350949179018355,1.7635047839764457,6.681890817064503,1.7098056918504005,4.0,1.0,0.0,1.3881278324623283,1.1172469586224405
baseline,9,train,500mv0_converted.csv,500.0,380.88580812995247,True,False,52.63157894736842,,22.750064861626818,0.0306688378770136,187.0197034825871,225.15950729281806,58.51999999999998,2.377983772930179,16.64309039691946,109.77154025473462,0.3328618079383892,0.5818578538731636,1.2607703944162276,5.9392067788172875,1.6245015886509464,4.0,1.0,0.0,0.8260842491892437,1.0977154025473461
baseline,10,train,550mv0_converted.csv,550.0,419.0559644140832,True,False,52.63157894736842,,17.93798697732822,0.04456714432328826,186.41220796353232,208.10805009432934,40.08000000000001,3.3894787453103277,12.845847847932792,111.97575498580977,0.25691695695865585,0.18828382630578677,0.5384777399763342,3.642014074311856,1.6054758620978018,4.0,1.0,0.0,0.5126147368946105,1.1197575498580976
baseline,11,test,600mv0_converted.csv,600.0,457.8085803363978,True,False,55.55555555555556,,13.57309453626138,0.04938897349627802,186.8872940631841,193.7964796808024,31.933300000000003,2.2169795109598454,9.70121541529491,109.63267765005405,0.19402430830589823,0.019094738359481462,0.3532238813629392,3.61578565920025,1.5568761549238028,4.0,1.0,0.0,0.2928818532290013,1.0963267765005404
baseline,12,train,650mv0_converted.csv,650.0,494.4853744265939,True,False,58.8235294117647,,9.768962539968772,0.050297343835889616,184.9093897164179,181.49785558359685,27.439999999999998,2.3317182753709176,7.118852387000915,111.59144948826435,0.1423770477400183,0.004655426055761258,0.252170324465337,3.034856553827408,1.2289978629010316,4.0,1.0,0.0,0.15128426158685626,1.1159144948826434
baseline,13,train,700mv0_converted.csv,700.0,532.8566832813709,True,False,58.8235294117647,,7.127107565827509,0.04607111774901312,182.4161180746269,170.57441864429862,22.079999999999984,2.34478715387354,5.203907351717329,116.20805643327333,0.10407814703434658,0.0560903381592948,0.15579145043276568,2.389958290873775,1.3700003240137593,4.0,1.0,0.0,0.08039587462491934,1.1620805643327332
baseline,14,train,750mv0_converted.csv,750.0,570.0736739678696,True,False,62.5,,5.6751991517950255,0.019515234721261907,181.55648223880593,161.83816235330886,19.439999999999998,1.7599795924328419,4.359750416429027,81.65200906824292,0.08719500832858054,0.15552485564271565,0.12503324864479645,2.404365631188143,1.2602135231161986,4.0,1.0,0.0,0.051180782742445585,0.8165200906824291
baseline,15,test,800mv0_converted.csv,800.0,606.2950294894458,True,False,62.5,,3.2470448334327173,0.02943472822056768,181.56365024875626,153.08503426699983,13.893400000000014,1.3884876950112357,2.87036514980179,84.62305987219776,0.0574073029960358,0.3244126272945412,0.06254913270218389,1.8169377522063783,0.8519026407034036,4.0,1.0,0.0,0.0165938771415505,0.8462305987219776
baseline,16,train,850mv0_converted.csv,850.0,645.4819548424252,False,False,,,,,181.47794527363186,145.25767919432909,10.640000000000015,1.4765853216807727,36.29422205236383,88.41953762916772,0.7258844410472766,0.5247630699421966,0.03358726742673462,0.0,0.0,0.0,0.0,0.0,0.0,0.8841953762916772
baseline,17,train,900mv0_converted.csv,900.0,682.444649204679,False,False,,,,,178.6636184079602,138.3312893631973,9.733300000000014,1.3986103309390785,40.39441538023265,95.29906978528304,0.807888307604653,0.65067870647001,0.027786820751820433,0.0,0.0,0.0,0.0,0.0,0.0,0.9529906978528304
baseline,18,train,950mv0_converted.csv,950.0,721.2714260182299,False,False,,,,,177.73027726368161,131.89239917281105,9.706700000000012,1.5702993295533076,45.89098738497092,96.22051515942866,0.9178197476994184,0.8404444271494045,0.02648040634801823,0.0,0.0,0.0,0.0,0.0,0.0,0.9622051515942865
baseline,19,test,1000mv0_converted.csv,1000.0,756.6243660265701,False,False,,,,,175.6862324875622,126.98107467115575,11.573300000000017,1.720462060613798,48.74484500054146,105.4312761384484,0.9748969000108292,0.948876959168423,0.03883136618392339,0.0,0.0,0.0,0.0,0.0,0.0,1.054312761384484
baseline,20,train,1100mv0_converted.csv,1100.0,834.7865599618726,False,False,,,,,176.02852154228853,117.12149088795059,14.346699999999998,2.1049515352283805,58.98209146438767,109.33068966941065,1.1796418292877535,1.388015304204444,0.0599441621898953,0.0,0.0,0.0,0.0,0.0,0.0,1.0933068966941064
baseline,21,train,1200mv0_converted.csv,1200.0,906.8051472486442,False,False,,,,,173.40669950248756,108.92023817754001,11.120000000000005,1.298327478680136,64.5341843440306,116.55944344733759,1.2906836868806122,1.663401477685582,0.03858610044641991,0.0,0.0,0.0,0.0,0.0,0.0,1.165594434473376
constrained,0,train,50mv0_converted.csv,50.0,37.99008122008859,False,False,,,,,88.34135940298506,95.52715341185952,4.506659999999982,4.122638111289845,7.271314506271414,5.935320608202067,0.1454262901254283,0.020654254215190387,5.898912440340041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.059353206082020674
constrained,1,train,100mv0_converted.csv,100.0,76.17083384633712,False,False,,,,,170.70984975124378,178.11795957903377,6.653399999999976,3.955797025475391,7.543556819990224,7.941879888920144,0.15087113639980448,0.021952036488239426,0.002910824723265556,0.0,0.0,0.0,0.0,0.0,0.0,0.07941879888920143
constrained,2,train,150mv0_converted.csv,150.0,114.17150902555795,False,False,,,,,239.83873747761194,242.5990278401866,5.800000000000011,3.133783866664203,3.2066101809549004,7.211488124914226,0.06413220361909801,0.0030476811542890295,0.00284348338786406,0.0,0.0,0.0,0.0,0.0,0.0,0.07211488124914225
constrained,3,test,200mv0_converted.csv,200.0,152.16154020295048,False,False,,,,,297.36232073134323,290.0650350202972,7.720000000000027,3.1333611056048767,7.486612446699061,10.882134227860107,0.1497322489339812,0.021300151499454544,0.00841490253903135,0.0,0.0,0.0,0.0,0.0,0.0,0.10882134227860106
constrained,4,train,250mv0_converted.csv,250.0,189.60094286792295,False,False,,,,,318.8617590398009,318.76499074723665,14.14670000000001,4.962027382228371,1.6731897015197164,20.98235970171907,0.033463794030394324,3.7456409783211538e-06,0.03374328443825765,0.0,0.0,0.0,0.0,0.0,0.0,0.2098235970171907
