evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
1,global,0.39,0.047873236,0.0036751265,314.4,333.49356636598696,6.882302959338694,0.2991563242902104,0.956269682,1407.9361283130893,0.44376225788468515,0.83693592626473,0.8951284045806437,2.6752462481762436,0.7957066401290224,2.2,0.55,0.0,0.6627375442860699,0.8454700016092772,0.12500000000074712,1407.9361283130893,32,constrained
2,global,0.212554147337957,0.04635484577338362,0.0034405529028403324,314.3605417092825,333.3242005921028,7.251020847510981,0.316512959099128,0.26205761830323593,1406.8418130576072,0.49221855169980994,0.7764700156711255,0.8847692734567272,2.565590494990617,0.7739138469850886,2.2,0.55,0.0,0.6626885038640216,0.7977596371540814,1.8234896201495616,1406.8418130576072,32,constrained
3,global,0.13490516235276634,0.07893849891902455,0.003731608446287948,314.4116364448315,333.72113741414944,6.726731074928029,0.2991953516463628,1.5794265638920426,1401.0267689661737,0.4312170867041898,0.8678957848598863,0.7710353195053407,1.9966111265909094,0.7118111663822666,2.2,0.55,0.0,0.6546478508817117,1.1829305659497087,1.0223514763922184,1401.0267689661737,32,constrained
4,global,0.388206074608582,0.025924300212361993,0.0037992545709380865,314.314892171087,333.61834729038617,6.808628537067385,0.2818991854809911,0.3838452838453542,1407.452804323736,0.4185859117419347,0.9093454657219725,0.894812554431559,2.625718740123407,0.8106106442111658,2.2,0.55,0.0,0.6633941425955052,0.5546153915954122,1.2463715475404955,1401.0267689661737,32,constrained
5,global,0.08282326385808904,0.07533312986484693,0.0038822353134036172,314.53897849665464,333.7909009133271,7.206970871233567,0.308281074538429,1.0714776061686528,1401.0175192612503,0.41171073260431823,1.0126048472538223,0.7767653325083846,1.9928569574557713,0.7222114789209633,2.2,0.55,0.0,0.655859230149439,1.1552511691769898,1.85673947732304,1401.0175192612503,32,constrained
6,global,0.2841337273116531,0.04612082732797021,0.004061040956363539,314.5428673710509,333.27649236157436,7.032478942542773,0.30683053198393034,1.133791487074142,1406.6793287733572,0.3913774783244349,1.083623043077772,0.8855719258332085,2.5472446963407167,0.7922822470804279,2.2,0.55,0.0,0.6623419694249206,0.8290407630997292,1.5658822581690388,1401.0175192612503,32,constrained
7,global,0.2941053994743865,0.06939500697101637,0.0035398776912466384,314.25809716472065,333.67208524114375,6.6893957243762925,0.3188607603348452,0.8824680803698561,1403.4425799141777,0.46900623411852094,0.8145157688942289,0.8228230296372591,2.2321786729779887,0.7368755958788927,2.2,0.55,0.0,0.658446069796373,1.0998603810369527,1.54871174542684,1401.0175192612503,32,constrained
8,global,0.11657383019260988,0.0677387053584471,0.003689144416387468,314.46102547217873,333.65697419959747,6.970671878645406,0.30340190278578844,1.381916718082544,1402.998009338832,0.4379879452931207,0.8469242883465187,0.8440833617753436,2.18674728750065,0.7356250629885958,2.2,0.55,0.0,0.657820170538091,1.0549249302200094,0.548070324478832,1401.0175192612503,32,constrained
9,global,0.1928810241709115,0.037430696922484546,0.0038384373534589484,314.4242461725418,333.2068527959453,6.7806180206415405,0.3176381494082528,0.8127712511886238,1408.7791164467546,0.43407918985234756,0.917575080214218,0.9020746527942576,2.7571677772167726,0.827996708835936,2.2,0.55,0.0,0.6634642394810746,0.688361614800698,1.0167452125421381,1401.0175192612503,32,constrained
10,global,0.024504071427689206,0.02216751163884581,0.0034979343457491843,314.3021102741862,333.79784742230515,6.838462767635839,0.2836066133699115,0.3218823201763418,1408.0712776866,0.4677742172054412,0.7732080163755312,0.8940624151395895,2.6885746325810613,0.7858683143648985,2.2,0.55,0.0,0.6633205074001467,0.47967137545475563,1.5869955945978942,1401.0175192612503,32,constrained
11,global,0.27015782599590993,0.08535950449156628,0.0039956247481190655,314.51364002321066,333.7033327589501,6.963426823309898,0.29616646608094543,1.772177578795403,1401.05269008985,0.3953608360790616,1.04570613187618,2.0843916788282373,1.8655109955066145,0.7021905343360666,2.2,0.55,0.0,0.6524624260458254,1.2826779408474427,2.074672086392318,1401.0175192612503,32,constrained
12,global,0.20420423265911544,0.026870604921082043,0.0039472161845403395,314.45419242324965,333.26808968356244,6.88749740747443,0.28880659692757304,1.4535201163969549,1652.78407974749,0.6272251509058144,1.1936733151286583,7.747944230303579,1.4315374695548866,0.7512326241057021,2.4,0.6,0.05,0.6412618810629486,0.5508258061558362,1.1269315437639014,1401.0175192612503,32,constrained
13,global,0.23576938894818072,0.04084226065169875,0.0039745942002505415,314.2874819057597,333.81684516605054,7.104326062984237,0.2897065350411041,1.8940739313252615,1400.9544353834933,0.5276213093285578,1.6383257890439418,4.699576980466668,1.5914348338174213,0.74036765300062,2.2,0.55,0.0,0.6126347558274176,0.772548624850852,2.179286139063936,1400.9544353834933,32,constrained
