candidate,dt_ns,source_setting_mV,current_uA,time_ns,measured_voltage_mV,predicted_voltage_mV
reference,0.025,50.0,37.99008122008859,5.546246e-13,62.37333,26.10766515135895
reference,0.025,50.0,37.99008122008859,1.0,66.66667000000001,28.52053202256247
reference,0.025,50.0,37.99008122008859,2.0,69.24000000000001,30.86910781852368
reference,0.025,50.0,37.99008122008859,3.0,70.74667,33.138092546386936
reference,0.025,50.0,37.99008122008859,4.0,73.74667,35.546660705116736
reference,0.025,50.0,37.99008122008859,5.0,77.38667000000001,38.075219917811836
reference,0.025,50.0,37.99008122008859,6.0,79.10667000000001,40.493402511137916
reference,0.025,50.0,37.99008122008859,7.0,79.96000000000001,42.774710493832124
reference,0.025,50.0,37.99008122008859,8.0,82.32,45.141369655779286
reference,0.025,50.0,37.99008122008859,9.0,85.10666,47.59018530996282
reference,0.025,50.0,37.99008122008859,10.0,85.74667,49.89165825717964
reference,0.025,50.0,37.99008122008859,11.0,86.17332999999999,52.02246825200278
reference,0.025,50.0,37.99008122008859,12.0,87.89334,54.17962721909381
reference,0.025,50.0,37.99008122008859,13.0,89.6,56.38866084796949
reference,0.025,50.0,37.99008122008859,14.0,89.81334000000001,58.43708986120876
reference,0.025,50.0,37.99008122008859,15.0,89.38666,60.288199276220375
reference,0.025,50.0,37.99008122008859,16.0,90.25333,62.15418588409848
reference,0.025,50.0,37.99008122008859,17.0,91.53333,64.07465112687275
reference,0.025,50.0,37.99008122008859,18.0,91.32,65.83731666634802
reference,0.025,50.0,37.99008122008859,19.0,90.25333,67.3916268505712
reference,0.025,50.0,37.99008122008859,20.0,90.46665999999999,68.94968469286208
reference,0.025,50.0,37.99008122008859,21.0,91.74667,70.56500769107326
reference,0.025,50.0,37.99008122008859,22.0,91.10667000000001,72.03900808342908
reference,0.025,50.0,37.99008122008859,23.0,89.81334000000001,73.30696269006384
reference,0.025,50.0,37.99008122008859,24.0,89.6,74.58117576939456
reference,0.025,50.0,37.99008122008859,25.0,90.89334,75.91556717890353
reference,0.025,50.0,37.99008122008859,26.0,89.81334000000001,77.1095078312658
reference,0.025,50.0,37.99008122008859,27.0,88.53333,78.11270609004221
reference,0.025,50.0,37.99008122008859,28.0,88.10667000000001,79.13671376627244
reference,0.025,50.0,37.99008122008859,29.0,89.6,80.2345864866931
reference,0.025,50.0,37.99008122008859,30.0,88.32,81.20568927610276
reference,0.025,50.0,37.99008122008859,31.0,87.46665999999999,81.9982745030014
reference,0.025,50.0,37.99008122008859,32.0,87.02665999999999,82.80994819302587
reference,0.025,50.0,37.99008122008859,33.0,88.53333,83.68019088554415
reference,0.025,50.0,37.99008122008859,34.0,87.02665999999999,84.42258877772102
reference,0.025,50.0,37.99008122008859,35.0,86.81333000000001,84.99927111338032
reference,0.025,50.0,37.99008122008859,36.0,86.81333000000001,85.60790158611312
reference,0.025,50.0,37.99008122008859,37.0,88.10667000000001,86.29986680133175
reference,0.025,50.0,37.99008122008859,38.0,86.6,86.86105177308438
reference,0.025,50.0,37.99008122008859,39.0,86.81333000000001,87.27940186969592
reference,0.025,50.0,37.99008122008859,40.0,86.81333000000001,87.7658428008454
reference,0.025,50.0,37.99008122008859,41.0,87.89334,88.32885334814
reference,0.025,50.0,37.99008122008859,42.0,86.38667000000001,88.76851948127941
reference,0.025,50.0,37.99008122008859,43.0,86.38667000000001,89.05893564059836
reference,0.025,50.0,37.99008122008859,44.0,87.25333,89.43703021780061
reference,0.025,50.0,37.99008122008859,45.0,87.68,89.91206428578944
reference,0.025,50.0,37.99008122008859,46.0,86.6,90.25592352488341
