series,minimum_periodic_vpp_mV,minimum_retention,sustained_records
measured,4.0,0.25,13
baseline,4.0,0.25,0
constrained,4.0,0.25,0
relaxed,4.0,0.25,10
measured,4.0,0.5,13
baseline,4.0,0.5,0
constrained,4.0,0.5,0
relaxed,4.0,0.5,10
measured,4.0,0.75,11
baseline,4.0,0.75,0
constrained,4.0,0.75,0
relaxed,4.0,0.75,9
measured,6.0,0.25,11
baseline,6.0,0.25,0
constrained,6.0,0.25,0
relaxed,6.0,0.25,10
measured,6.0,0.5,11
baseline,6.0,0.5,0
constrained,6.0,0.5,0
relaxed,6.0,0.5,10
measured,6.0,0.75,10
baseline,6.0,0.75,0
constrained,6.0,0.75,0
relaxed,6.0,0.75,9
measured,8.0,0.25,10
baseline,8.0,0.25,0
constrained,8.0,0.25,0
relaxed,8.0,0.25,10
measured,8.0,0.5,10
baseline,8.0,0.5,0
constrained,8.0,0.5,0
relaxed,8.0,0.5,10
measured,8.0,0.75,9
baseline,8.0,0.75,0
constrained,8.0,0.75,0
relaxed,8.0,0.75,9
