window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
0,50.0,100.0,94.25061815042747,4.078932265043136,3.428573715380068,3.3568772248557184,0.9350996064760029,50.0,37.99008122008859,reference,0.025
1,100.0,150.0,95.71986408107551,0.5303925257670699,0.42395924875567914,1.1000818928919587,0.576385601457668,50.0,37.99008122008859,reference,0.025
2,150.0,200.0,95.64819236197759,0.23075272429430527,0.18944315305147086,0.41830602153695956,0.15269625673798182,50.0,37.99008122008859,reference,0.025
3,200.0,250.0,95.92098461581664,0.4774339694664036,0.43239093104277515,0.3264427968665452,0.3327210382923631,50.0,37.99008122008859,reference,0.025
0,50.0,100.0,177.24668642085322,7.523716280315142,6.006634474733261,9.115558281230133,0.9876279739676933,100.0,76.17083384633712,reference,0.025
1,100.0,150.0,178.66059166084037,0.38896543870612277,0.34862825790270335,0.49873198012464104,0.3155231066435066,100.0,76.17083384633712,reference,0.025
2,150.0,200.0,178.70901930825713,0.23700263666773935,0.20293927267360345,0.27288321993087444,0.05925043885461123,100.0,76.17083384633712,reference,0.025
3,200.0,250.0,178.7913877756539,0.3986211705292533,0.3521229383924833,0.44452213581651356,0.14088443392083005,100.0,76.17083384633712,reference,0.025
0,50.0,100.0,245.41045206297696,4.527285960982823,3.0625052076445627,3.112370481549041,0.7993434557584651,150.0,114.17150902555795,reference,0.025
1,100.0,150.0,243.53678884662384,0.41905054452249146,0.34201053668513737,0.2938821085693189,0.6052149685266249,150.0,114.17150902555795,reference,0.025
2,150.0,200.0,243.6282788462104,0.310316725607521,0.25844302935433916,0.22743703646371335,0.6639770226481405,150.0,114.17150902555795,reference,0.025
3,200.0,250.0,243.72351172559186,0.2951630763909634,0.2500373971660963,0.015739877857307138,0.03913078523648572,150.0,114.17150902555795,reference,0.025
0,50.0,100.0,296.68575946295323,12.90974005186473,12.764842716377643,3.427466880396203,0.9471551373291137,200.0,152.16154020295048,reference,0.025
1,100.0,150.0,291.36351763125225,0.5100071790741936,0.45628080274411786,0.04865798610648608,0.09242869955443922,200.0,152.16154020295048,reference,0.025
2,150.0,200.0,291.6248082285776,0.5154614950193945,0.4656806965307396,0.27057329381645445,0.8069328664943737,200.0,152.16154020295048,reference,0.025
3,200.0,250.0,291.91374850907977,0.6281124284452062,0.5493106938776577,0.3441775168124187,0.8842320587659792,200.0,152.16154020295048,reference,0.025
0,50.0,100.0,327.3978285030092,35.83186890691502,33.94867887197586,18.528967555889917,0.9955088864541324,250.0,189.60094286792295,reference,0.025
1,100.0,150.0,321.08350342106866,1.8976635627595329,1.4110402266982192,1.4310227703354024,0.9579630840941978,250.0,189.60094286792295,reference,0.025
2,150.0,200.0,321.0645649948442,0.3896647702641758,0.3569374262573888,0.3403261941133074,0.38047693428042806,250.0,189.60094286792295,reference,0.025
3,200.0,250.0,321.1509989561811,0.33566554050696595,0.3009504326478236,0.1950572390207081,0.49224488697590063,250.0,189.60094286792295,reference,0.025
