name,gamma,replay_step_ns,mean_log_resistance_rmse
central,0.1569637099,0.25,0.9978909443746476
central,0.1569637099,0.5,0.9978559097430707
central,0.1569637099,1.0,0.997804251517124
central,0.5,0.25,1.0069355489286005
central,0.5,0.5,1.0076100164349895
central,0.5,1.0,1.0068655779873
central,0.956269682,0.25,1.0007772592592128
central,0.956269682,0.5,0.9995975598994769
central,0.956269682,1.0,0.99963781806037
central,2.0,0.25,1.0415803296955506
central,2.0,0.5,1.0380389232878267
central,2.0,1.0,1.0333214865088893
large_C_diagnostic,0.1569637099,0.25,0.9911120857720274
large_C_diagnostic,0.1569637099,0.5,0.9910878581833941
large_C_diagnostic,0.1569637099,1.0,0.9911577299196259
large_C_diagnostic,0.5,0.25,0.9946421297051561
large_C_diagnostic,0.5,0.5,0.9963732748416444
large_C_diagnostic,0.5,1.0,1.001591454210727
large_C_diagnostic,0.956269682,0.25,0.9878694830646183
large_C_diagnostic,0.956269682,0.5,0.9865776335345703
large_C_diagnostic,0.956269682,1.0,0.9834667254345049
large_C_diagnostic,2.0,0.25,1.0995664817733206
large_C_diagnostic,2.0,0.5,1.0964250929632957
large_C_diagnostic,2.0,1.0,1.0868553475327687
lower_Cth,0.1569637099,0.25,1.0046895760548624
lower_Cth,0.1569637099,0.5,1.004686871973025
lower_Cth,0.1569637099,1.0,1.0047637308237558
lower_Cth,0.5,0.25,1.0132112436555476
lower_Cth,0.5,0.5,1.012123822332805
lower_Cth,0.5,1.0,1.0128127043785098
lower_Cth,0.956269682,0.25,1.0832074563040495
lower_Cth,0.956269682,0.5,1.080854934264435
lower_Cth,0.956269682,1.0,1.0722375210769126
lower_Cth,2.0,0.25,1.3171725557458442
lower_Cth,2.0,0.5,1.3153846770382964
lower_Cth,2.0,1.0,1.3153343773363966
lower_Se,0.1569637099,0.25,1.1756705746931821
lower_Se,0.1569637099,0.5,1.1756835032062047
lower_Se,0.1569637099,1.0,1.1756712295933418
lower_Se,0.5,0.25,1.1731305270751713
lower_Se,0.5,0.5,1.172710899731334
lower_Se,0.5,1.0,1.1742851581680949
lower_Se,0.956269682,0.25,1.1890396386688586
lower_Se,0.956269682,0.5,1.1890580248069151
lower_Se,0.956269682,1.0,1.191021951671261
lower_Se,2.0,0.25,1.2332108981424559
lower_Se,2.0,0.5,1.2319079295722277
lower_Se,2.0,1.0,1.230994353891699
smoothing_nine_samples,0.1569637099,0.25,0.9976062099074429
smoothing_nine_samples,0.1569637099,0.5,0.9975730985559114
smoothing_nine_samples,0.1569637099,1.0,0.9975320824110782
smoothing_nine_samples,0.5,0.25,1.0073922973853107
smoothing_nine_samples,0.5,0.5,1.0088964059398295
smoothing_nine_samples,0.5,1.0,1.0070559844126072
smoothing_nine_samples,0.956269682,0.25,0.9996595343041593
smoothing_nine_samples,0.956269682,0.5,0.9995144871420677
smoothing_nine_samples,0.956269682,1.0,0.9988933284519202
smoothing_nine_samples,2.0,0.25,1.037181585423802
smoothing_nine_samples,2.0,0.5,1.032851232209905
smoothing_nine_samples,2.0,1.0,1.028654722441754
upper_Cth,0.1569637099,0.25,0.9953836122725527
upper_Cth,0.1569637099,0.5,0.995417196244303
upper_Cth,0.1569637099,1.0,0.9953799738172797
upper_Cth,0.5,0.25,0.9965143491663325
upper_Cth,0.5,0.5,0.9967092197506205
upper_Cth,0.5,1.0,0.9962319698251417
upper_Cth,0.956269682,0.25,0.9940000746548581
upper_Cth,0.956269682,0.5,0.9943455606640583
upper_Cth,0.956269682,1.0,0.993234173094359
upper_Cth,2.0,0.25,0.990247058728356
upper_Cth,2.0,0.5,0.9909460347565517
upper_Cth,2.0,1.0,0.989678267878826
upper_Se,0.1569637099,0.25,0.8854999636435079
upper_Se,0.1569637099,0.5,0.8855384925414843
upper_Se,0.1569637099,1.0,0.8854754980840484
upper_Se,0.5,0.25,0.8766024734608409
upper_Se,0.5,0.5,0.876047347357082
upper_Se,0.5,1.0,0.8765439981203744
upper_Se,0.956269682,0.25,0.8500988517423071
upper_Se,0.956269682,0.5,0.8506007668303767
upper_Se,0.956269682,1.0,0.8509419752449837
upper_Se,2.0,0.25,0.8178355919485074
upper_Se,2.0,0.5,0.8141640120244479
upper_Se,2.0,1.0,0.8111242544626491
zero_electrical_C,0.1569637099,0.25,0.9984609308355714
zero_electrical_C,0.1569637099,0.5,0.9984278948347516
zero_electrical_C,0.1569637099,1.0,0.9983654239550422
zero_electrical_C,0.5,0.25,1.006441825842012
zero_electrical_C,0.5,0.5,1.0067478386716386
zero_electrical_C,0.5,1.0,1.003381929197535
zero_electrical_C,0.956269682,0.25,1.0007221331252576
zero_electrical_C,0.956269682,0.5,1.000551758118
zero_electrical_C,0.956269682,1.0,0.9996393225929604
zero_electrical_C,2.0,0.25,1.0391160268516357
zero_electrical_C,2.0,0.5,1.035544145514951
zero_electrical_C,2.0,1.0,1.0360996294231823
