C_pF,C_th_pJ_per_K,S_e_mW_per_K,name,gamma,replay_step_ns,source_file,source_setting_mV,current_uA,temperature_min_K,temperature_max_K,temperature_mean_K,measured_resistance_mean_ohm,replayed_resistance_mean_ohm,resistance_rmse_ohm,resistance_log_rmse,fraction_above_major_heating_branch,late_invalid_resistance_fraction,outside_temperature_calibration_fraction,smoothing_window
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,1000mv0_converted.csv,1000.0,759.2191989197131,350.221085388914,350.6752929914714,350.49829575249004,230.55558060730556,18.48572313667524,212.07996930912626,2.5234689839204205,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,100mv0_converted.csv,100.0,76.17083384633712,317.92721543331874,317.9812555977485,317.9496124779589,2245.5564588875172,2350.5849125928216,107.67946691070902,0.04696923765751404,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,1100mv0_converted.csv,1100.0,834.7865599618726,353.969434036032,354.3818013815846,354.20354547479,209.96291429798154,18.23926017307999,191.74342107792796,2.4433037142560003,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,1200mv0_converted.csv,1200.0,908.6058899457871,356.78526846365924,357.4364195921907,357.1219324902865,190.4078320014925,18.219566194137723,172.20698590312665,2.346621153376746,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,150mv0_converted.csv,150.0,114.17150902555795,321.8190315873775,321.88645050532153,321.8551776184266,2105.387001524954,2135.1135616491338,32.60605649595493,0.015416980222875538,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,200mv0_converted.csv,200.0,152.35217904164247,326.69966933673527,326.77533647987235,326.744638669977,1957.2703914348324,1895.581735138846,62.580663030895785,0.03245980143355775,1.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,250mv0_converted.csv,250.0,189.60094286792295,330.8551086181902,330.95830188379824,330.91170924182495,1680.6169070790982,1679.2945278658726,5.294340128398595,0.0031490472411013124,0.5742574257425742,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,300mv0_converted.csv,300.0,228.7136509323431,328.1267434038702,329.84989072948923,328.9609915993015,1017.9021323048438,1763.4682822652383,760.0799097332059,0.5776943465545562,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,350mv0_converted.csv,350.0,267.07439601247086,327.06990411892986,329.20446249602213,328.06891468514095,711.7171214286312,1788.4901461459622,1085.7104341730767,0.9591512955477681,0.0,0.0,0.0,
0.39,0.047873236,0.0036751265,central,0.956269682,1.0,400mv0_converted.csv,400.0,303.3911472089279,329.2067097475923,330.97874826275194,330.1143048852367,618.8494207894227,1649.7467306911356,1035.5948550327068,1.003221727060823,0.0,0.0,0.0,
