branch,current_uA,T_K,R_ohm,derivative_halfwidth_K,dR_dT_ohm_per_K,Ccrit_pF,maximum_real_eigenvalue_per_s
insulator,38.18303147605306,315.39429110302166,2506.369140625,0.01,-63.5986328125,,-79029015.3061324
insulator,38.18303147605306,315.39429110302166,2506.369140625,0.02,-63.41552734375,,-79022476.30440424
insulator,38.18303147605306,315.39429110302166,2506.369140625,0.04,-63.4796142578125,,-79024764.93583195
insulator,76.21473630358447,318.1012000750395,2341.730712890625,0.01,-58.349609375,,-85040017.0464603
insulator,76.21473630358447,318.1012000750395,2341.730712890625,0.02,-58.245849609375,,-85025080.5211955
insulator,76.21473630358447,318.1012000750395,2341.730712890625,0.04,-58.2855224609375,,-85030791.44793795
insulator,114.11799802479607,321.94864685551397,2130.262451171875,0.01,-51.7822265625,,-93219186.14996791
insulator,114.11799802479607,321.94864685551397,2130.262451171875,0.02,-51.84326171875,,-93239126.1535635
insulator,114.11799802479607,321.94864685551397,2130.262451171875,0.04,-51.84326171875,,-93239126.1535635
insulator,152.29578486438515,326.4506608927863,1909.446044921875,0.01,-47.125244140625,,-103409264.58848962
insulator,152.29578486438515,326.4506608927863,1909.446044921875,0.02,-47.186279296875,,-103445206.22295202
insulator,152.29578486438515,326.4506608927863,1909.446044921875,0.04,-47.13134765625,,-103412858.57384896
insulator,190.10363798124942,330.9128988532918,1679.2476806640625,0.01,-64.88037109375,,-135267022.6615591
insulator,190.10363798124942,330.9128988532918,1679.2476806640625,0.02,-64.7979736328125,,-135186520.43809444
insulator,190.10363798124942,330.9128988532918,1679.2476806640625,0.04,-64.85748291015625,,-135244659.13824496
insulator,228.72329533860898,333.9850442784601,1375.86572265625,0.01,-149.774169921875,8.363755961965678,-304320665.6647624
insulator,228.72329533860898,333.9850442784601,1375.86572265625,0.02,-149.542236328125,8.388220607005813,-303850558.5880635
insulator,228.72329533860898,333.9850442784601,1375.86572265625,0.04,-149.6612548828125,8.375648530192361,-304091725.03194386
insulator,267.26884762793657,335.54377746581974,1087.8233642578125,0.01,-218.011474609375,3.6987940081699806,-649560663.9503224
insulator,267.26884762793657,335.54377746581974,1087.8233642578125,0.02,-218.1732177734375,3.6952057227388564,-650458380.941141
insulator,267.26884762793657,335.54377746581974,1087.8233642578125,0.04,-218.0877685546875,3.697100552776346,-649983800.1791462
insulator,303.62831796812344,336.4482269287108,878.9478759765625,0.01,-239.471435546875,2.9598504845020095,-1080436316.7051282
insulator,303.62831796812344,336.4482269287108,878.9478759765625,0.02,-239.6148681640625,2.9577251348312514,-1083431067.143567
insulator,303.62831796812344,336.4482269287108,878.9478759765625,0.04,-239.51873779296875,2.959149233833834,-1081418094.2527618
insulator,342.1738513744537,337.13816833495986,713.7327880859375,0.01,-236.1328125,2.7980334022959834,-1347685406.5448642
insulator,342.1738513744537,337.13816833495986,713.7327880859375,0.02,-236.2884521484375,2.7959080422173814,-1352491997.601944
insulator,342.1738513744537,337.13816833495986,713.7327880859375,0.04,-236.1846923828125,2.7973245899983086,-1349273508.7142098
insulator,381.3971118766464,337.6849517822258,588.2928466796875,0.01,-220.7275390625,2.86207260688997,-1348178159.689917
insulator,381.3971118766464,337.6849517822258,588.2928466796875,0.02,-220.91522216796875,2.859327082863238,-1351234969.3371468
insulator,381.3971118766464,337.6849517822258,588.2928466796875,0.04,-220.8282470703125,2.860598743679193,-1349815809.5382154
insulator,419.4989779312343,338.1232452392568,495.4328308105469,0.01,-201.96380615234375,3.0323253550993665,-1335661447.6653442
insulator,419.4989779312343,338.1232452392568,495.4328308105469,0.02,-202.11715698242188,3.0297595485857265,-1337660621.2023072
insulator,419.4989779312343,338.1232452392568,495.4328308105469,0.04,-202.03475952148438,3.03113765090358,-1336585744.780972
insulator,458.28537876787465,338.50566101074276,421.8102111816406,0.01,-182.48748779296875,3.27528184428847,-1322631958.0706112
insulator,458.28537876787465,338.50566101074276,421.8102111816406,0.02,-182.61795043945312,3.2726940093562584,-1324196547.2828932
insulator,458.28537876787465,338.50566101074276,421.8102111816406,0.04,-182.5458526611328,3.2741236229350448,-1323331600.6398382
insulator,495.23953506616215,338.8265533447277,366.0188903808594,0.01,-164.959716796875,3.5558146427908603,-1311029947.145979
insulator,495.23953506616215,338.8265533447277,366.0188903808594,0.02,-165.08255004882812,3.5529047301189145,-1312478499.1152973
insulator,495.23953506616215,338.8265533447277,366.0188903808594,0.04,-165.0188446044922,3.554413313670367,-1311727023.5177858
insulator,533.3182345380714,339.12351989746173,319.45330810546875,0.01,-148.492431640625,3.8863746225328772,-1300018337.5857527
insulator,533.3182345380714,339.12351989746173,319.45330810546875,0.02,-148.60687255859375,3.8830967529003177,-1301391230.8464746
insulator,533.3182345380714,339.12351989746173,319.45330810546875,0.04,-148.54660034179688,3.8848224080729863,-1300668021.637979
insulator,570.0413856942617,339.38435363769423,282.5722351074219,0.01,-134.24224853515625,4.241157632276434,-1289953176.5125082
insulator,570.0413856942617,339.38435363769423,282.5722351074219,0.02,-134.344482421875,4.237633500365579,-1291224320.4849362
insulator,570.0413856942617,339.38435363769423,282.5722351074219,0.04,-134.2945098876953,4.2393553850705175,-1290602867.4110024
insulator,606.5775556192157,339.62370300292946,251.94766235351562,0.01,-121.59957885742188,4.6270310453710755,-1280322832.8475835
insulator,606.5775556192157,339.62370300292946,251.94766235351562,0.02,-121.69456481933594,4.623096586341485,-1281560751.2465901
insulator,606.5775556192157,339.62370300292946,251.94766235351562,0.04,-121.64745330810547,4.625047178129368,-1280946673.478988
insulator,645.8072064076357,339.86225891113315,224.36764526367188,0.01,-109.57412719726562,5.077252434481915,-1270076919.2627668
insulator,645.8072064076357,339.86225891113315,224.36764526367188,0.02,-109.65919494628906,5.072969620830271,-1271252043.7213645
insulator,645.8072064076357,339.86225891113315,224.36764526367188,0.04,-109.62352752685547,5.074764449749491,-1270759266.1238456
insulator,682.5830920101763,340.07139587402344,202.4918975830078,0.01,-99.60784912109375,5.532357841137935,-1260528616.1299293
insulator,682.5830920101763,340.07139587402344,202.4918975830078,0.02,-99.68147277832031,5.527920576170335,-1261607475.6821625
insulator,682.5830920101763,340.07139587402344,202.4918975830078,0.04,-99.64599609375,5.530057851210743,-1261087558.4208677
insulator,721.6667853309548,340.2806549072269,182.6304931640625,0.01,-90.2191162109375,6.052275958665819,-1250107576.4119055
insulator,721.6667853309548,340.2806549072269,182.6304931640625,0.02,-90.28816223144531,6.047255196918238,-1251187681.4065287
insulator,721.6667853309548,340.2806549072269,182.6304931640625,0.04,-90.25707244873047,6.049514895304874,-1250701289.744085
insulator,758.4127832621615,340.4669647216777,166.5532684326172,0.01,-82.38525390625,6.575647357316143,-1240044605.734373
insulator,758.4127832621615,340.4669647216777,166.5532684326172,0.02,-82.44743347167969,6.570271581087688,-1241080239.553958
insulator,758.4127832621615,340.4669647216777,166.5532684326172,0.04,-82.42034912109375,6.572612096008049,-1240629097.4283717
insulator,834.6274425945287,340.82667541503986,139.42079162597656,0.01,-68.68972778320312,7.773116087943515,-1218057896.4317079
insulator,834.6274425945287,340.82667541503986,139.42079162597656,0.02,-68.74580383300781,7.766248504742065,-1219122429.6936924
insulator,834.6274425945287,340.82667541503986,139.42079162597656,0.04,-68.71967315673828,7.769447194590058,-1218626338.5350802
insulator,907.9133220095645,341.1453704833989,119.2421875,0.01,-58.111572265625,9.07776719135182,-1195133327.8248816
insulator,907.9133220095645,341.1453704833989,119.2421875,0.02,-58.15773010253906,9.069964292208969,-1196125223.903675
insulator,907.9133220095645,341.1453704833989,119.2421875,0.04,-58.138084411621094,9.07328372059068,-1195703029.437852
metal,38.18303147605306,315.3941440816933,2505.99853515625,0.01,-63.68408203125,,-79032014.62760465
metal,38.18303147605306,315.3941440816933,2505.99853515625,0.02,-63.629150390625,,-79030052.93258294
metal,38.18303147605306,315.3941440816933,2505.99853515625,0.04,-63.665771484375,,-79031360.72757843
metal,76.21473630358447,318.0986124031293,2340.093505859375,0.01,-59.26513671875,,-85170911.77053434
metal,76.21473630358447,318.0986124031293,2340.093505859375,0.02,-59.295654296875,,-85175306.6255517
metal,76.21473630358447,318.0986124031293,2340.093505859375,0.04,-59.2987060546875,,-85175746.11498803
metal,114.11799802479607,321.9015506208139,2116.9716796875,0.01,-60.986328125,,-96221306.38599907
metal,114.11799802479607,321.9015506208139,2116.9716796875,0.02,-60.833740234375,,-96171012.18191847
metal,114.11799802479607,321.9015506208139,2116.9716796875,0.04,-60.90087890625,,-96193140.5773731
metal,152.29578486438515,325.78629061899215,1804.175537109375,0.01,-119.9951171875,,-148467480.73703972
metal,152.29578486438515,325.78629061899215,1804.175537109375,0.02,-119.940185546875,,-148430931.21095413
metal,152.29578486438515,325.78629061899215,1804.175537109375,0.04,-119.9310302734375,,-148424840.01599836
metal,190.10363798124942,328.14509582519617,1397.7811279296875,0.01,-232.18994140625,7.262275449533815,-328526157.1926218
metal,190.10363798124942,328.14509582519617,1397.7811279296875,0.02,-232.379150390625,7.251761032466305,-328812632.45066845
metal,190.10363798124942,328.14509582519617,1397.7811279296875,0.04,-232.3028564453125,7.255997051466686,-328697090.79093987
metal,228.72329533860898,329.4528350830088,1057.4736328125,0.01,-279.864501953125,4.128410211791333,-570999641.8923683
metal,228.72329533860898,329.4528350830088,1057.4736328125,0.02,-280.0750732421875,4.12426710292472,-571654407.2850237
metal,228.72329533860898,329.4528350830088,1057.4736328125,0.04,-279.95452880859375,4.1266378644211965,-571279443.1585076
metal,267.26884762793657,330.3047637939458,818.2802124023438,0.01,-275.8209228515625,3.650272099067354,-745113650.9872599
metal,267.26884762793657,330.3047637939458,818.2802124023438,0.02,-276.05133056640625,3.646527479580342,-746133783.6483016
metal,267.26884762793657,330.3047637939458,818.2802124023438,0.04,-275.92010498046875,3.648659234444102,-745552520.042987
metal,303.62831796812344,330.90672302246037,658.0367431640625,0.01,-253.96728515625,3.685836286525636,-830970803.3898008
metal,303.62831796812344,330.90672302246037,658.0367431640625,0.02,-254.15496826171875,3.6826080999060093,-831909082.2051224
metal,303.62831796812344,330.90672302246037,658.0367431640625,0.04,-254.06112670898438,3.684221486065962,-831439775.3994734
metal,342.1738513744537,331.42091369628906,534.2733154296875,0.01,-226.0711669921875,3.93106009326361,-876878602.7338709
metal,342.1738513744537,331.42091369628906,534.2733154296875,0.02,-226.2481689453125,3.927489280446972,-877835449.5388572
metal,342.1738513744537,331.42091369628906,534.2733154296875,0.04,-226.1505126953125,3.929458581450765,-877307406.0047859
metal,381.3971118766464,331.8591351328179,441.10321044921875,0.01,-198.84796142578125,4.298237501852873,-903300509.5417697
metal,381.3971118766464,331.8591351328179,441.10321044921875,0.02,-198.70986938476562,4.301659638414821,-902490739.6602423
metal,381.3971118766464,331.8591351328179,441.10321044921875,0.04,-198.70529174804688,4.30177317272082,-902463906.2540644
metal,419.4989779312343,332.2276458740246,372.3074645996094,0.01,-174.5849609375,4.753923715775401,-915248276.3943102
metal,419.4989779312343,332.2276458740246,372.3074645996094,0.02,-174.71771240234375,4.749821300936318,-916096212.1498989
metal,419.4989779312343,332.2276458740246,372.3074645996094,0.04,-174.6501922607422,4.751906988827349,-915664871.4345363
metal,458.28537876787465,332.5601959228527,317.7744140625,0.01,-153.3294677734375,5.280839779089375,-923270699.2791831
metal,458.28537876787465,332.5601959228527,317.7744140625,0.02,-153.45382690429688,5.276009364890874,-924142857.1593757
metal,458.28537876787465,332.5601959228527,317.7744140625,0.04,-153.39622497558594,5.278245666251785,-923738827.5356373
metal,495.23953506616215,332.8462677001955,276.4068603515625,0.01,-135.87799072265625,5.841311452227743,-927571198.0479113
metal,495.23953506616215,332.8462677001955,276.4068603515625,0.02,-135.98556518554688,5.83611830919634,-928398131.7654572
metal,495.23953506616215,332.8462677001955,276.4068603515625,0.04,-135.93215942382812,5.83869531063534,-927987555.4080793
metal,533.3182345380714,333.1161346435556,241.8323516845703,0.01,-120.39642333984375,6.475849577094973,-929552118.6965386
metal,533.3182345380714,333.1161346435556,241.8323516845703,0.02,-120.48377990722656,6.470590243830768,-930290701.9454658
metal,533.3182345380714,333.1161346435556,241.8323516845703,0.04,-120.44410705566406,6.472977702747454,-929955247.0793645
metal,570.0413856942617,333.35688781738327,214.4001922607422,0.01,-107.52716064453125,7.141705548836674,-929659776.234725
metal,570.0413856942617,333.35688781738327,214.4001922607422,0.02,-107.60765075683594,7.135736179934185,-930405279.21818
metal,570.0413856942617,333.35688781738327,214.4001922607422,0.04,-107.56855010986328,7.138634744975264,-930043101.8265625
metal,606.5775556192157,333.58067321777304,191.58644104003906,0.01,-96.42486572265625,7.857036440655996,-928325445.935079
metal,606.5775556192157,333.58067321777304,191.58644104003906,0.02,-96.49467468261719,7.850695951681576,-929032421.7008821
metal,606.5775556192157,333.58067321777304,191.58644104003906,0.04,-96.4639663696289,7.853483812754655,-928721409.6865138
metal,645.8072064076357,333.8062286376968,171.0043487548828,0.01,-86.0992431640625,8.685026161348635,-925548463.1777334
metal,645.8072064076357,333.8062286376968,171.0043487548828,0.02,-86.16561889648438,8.677573714059916,-926286782.4374322
metal,645.8072064076357,333.8062286376968,171.0043487548828,0.04,-86.13643646240234,8.680848645050617,-925962157.3501569
metal,682.5830920101763,334.00597152662743,154.64988708496094,0.01,-77.6885986328125,9.51858379730499,-921893365.854001
metal,682.5830920101763,334.00597152662743,154.64988708496094,0.02,-77.74314880371094,9.511150707299278,-922554434.8385903
metal,682.5830920101763,334.00597152662743,154.64988708496094,0.04,-77.71778106689453,9.514605909491488,-922247000.7000128
metal,721.6667853309548,334.2076410789474,139.7756805419922,0.01,-69.9737548828125,10.452472544264548,-918219043.5093769
