candidate,dt_ns,split,records,mean_feature_loss,mean_voltage_RMSE_mV,periodic_amplitude_MAE_mV,oscillators_recovered,measured_oscillators,false_positives,frequency_comparable_count,frequency_MAE_MHz
dynamic_diagnostic,0.00625,train,9,14.25462198649914,58.848781761371285,50.40568915599472,2,5,0,2,23.26116895228706
dynamic_diagnostic,0.00625,validation,13,16.18316601867845,61.054314531894406,44.03589213649521,3,6,0,3,30.272942937251816
dynamic_diagnostic,0.0125,train,9,13.604150838980948,58.46339069614007,48.8437359970928,2,5,0,2,23.066358492888057
dynamic_diagnostic,0.0125,validation,13,16.284237722482573,61.13014075028118,45.58421289374871,3,6,0,3,29.95249995066186
dynamic_diagnostic,0.025,train,9,13.135962959844912,57.777129051157736,44.61197728368578,2,5,0,2,22.630336586996517
dynamic_diagnostic,0.025,validation,13,16.524248475692946,61.24652911036241,48.752247980383984,4,6,0,4,36.92527488531813
frozen,0.00625,train,9,23.159359136459116,52.89614279817123,30.600566741167956,0,5,0,0,
frozen,0.00625,validation,13,14.795125713027915,39.23181644677553,18.76257310266928,0,6,0,0,
frozen,0.0125,train,9,22.94958098058993,52.94084147545243,30.584559467815193,0,5,0,0,
frozen,0.0125,validation,13,14.965307063569025,39.21032728707712,18.76360699278284,0,6,0,0,
frozen,0.025,train,9,22.949979523439513,52.91125258564598,30.5864990670865,0,5,0,0,
frozen,0.025,validation,13,14.889470264145919,39.17748602048937,18.76248374726796,0,6,0,0,
prior_amplitude,0.00625,train,9,58.13504636783447,139.48363280164108,59.26414303674648,5,5,1,5,15.545938660464964
prior_amplitude,0.00625,validation,13,51.486185202307375,134.17660112143562,46.41827430848081,6,6,2,6,8.050068545553158
prior_amplitude,0.0125,train,9,57.836608318496474,138.85996192131518,59.656072866995714,5,5,2,5,15.802075442213972
prior_amplitude,0.0125,validation,13,51.443595154283315,133.81219658943442,47.24463622014388,6,6,2,6,7.568397048313894
prior_amplitude,0.025,train,9,58.03450364319153,138.7078872265119,59.7732236848849,5,5,1,5,16.82024644397858
prior_amplitude,0.025,validation,13,51.746626807457346,133.50035493109937,47.529988405747304,6,6,2,6,6.856435826195949
prior_anchored,0.00625,train,9,12.225159436741029,49.093276069510836,63.74898673308409,4,5,0,4,13.531624604486344
prior_anchored,0.00625,validation,13,15.160058140241802,52.10160310365233,76.85874335169238,5,6,0,5,16.603472519231094
prior_anchored,0.0125,train,9,12.571005618413574,51.45592261415228,61.160184972455326,4,5,0,4,13.6127001457404
prior_anchored,0.0125,validation,13,15.360276220756147,52.02113083684985,78.48799989360506,5,6,0,5,16.527695722240075
prior_anchored,0.025,train,9,12.265403255822967,48.82274281102501,68.950760948594,4,5,0,4,14.557184723271826
prior_anchored,0.025,validation,13,15.628256301707113,51.90438420701605,80.36353557972156,6,6,0,6,21.880267634734704
static_preserving,0.00625,train,9,12.431680674371766,53.26452674870795,37.74412972817357,2,5,0,2,6.639682439642186
static_preserving,0.00625,validation,13,10.07412172547201,48.513610766217596,28.80911040944977,2,6,0,2,1.9500160512070686
static_preserving,0.0125,train,9,12.425514274425366,53.249089964230635,38.27037439501572,2,5,0,2,6.615347321676005
static_preserving,0.0125,validation,13,10.112561038232418,48.50698975425682,29.4060918828257,2,6,0,2,2.0014712675718798
static_preserving,0.025,train,9,12.466204934001222,53.207284282439474,39.30681165317424,2,5,0,2,6.556288565853716
static_preserving,0.025,validation,13,10.14906450219623,48.489022209304295,30.603277020465512,2,6,0,2,2.1042339198171085
