window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,candidate,dt_ns,source_mV,split
0,50.0,100.0,95.4075653268169,3.141109600575305,2.6987204637402726,0.5444315077779236,0.03893142460516219,frozen,0.025,50.0,validation
1,100.0,150.0,95.68432198960227,2.6613106685310584,2.187921191131025,0.8690695881387093,0.10796726841762361,frozen,0.025,50.0,validation
2,150.0,200.0,95.51130408332115,2.7524847361210334,2.469668328406314,0.23103395640600094,0.009570596956782529,frozen,0.025,50.0,validation
3,200.0,250.0,95.92008946517215,2.531428708208054,2.313486839184492,0.21021900675665742,0.009322547401618086,frozen,0.025,50.0,validation
0,50.0,100.0,178.30385500462464,2.56186937788425,2.2255771032042446,0.253249165192252,0.018057709664862975,frozen,0.025,100.0,train
1,100.0,150.0,178.34758549509695,2.8105639038778634,2.4909483117494915,0.23974110787325625,0.010490700048681245,frozen,0.025,100.0,train
2,150.0,200.0,178.4093567537098,2.6512063174888283,2.3609134575181088,0.23457328511664083,0.009656161146545106,frozen,0.025,100.0,train
3,200.0,250.0,178.49640991046945,3.0181454968776222,2.4913885646182337,0.2698548283450956,0.013721401104406006,frozen,0.025,100.0,train
0,50.0,100.0,243.27976276678154,3.3148645752133064,2.5839891850648087,0.35329898809863397,0.04226897930647999,frozen,0.025,150.0,validation
1,100.0,150.0,242.96507018834552,2.341943460166277,1.7742439847260698,0.33121669633387235,0.03594397489872725,frozen,0.025,150.0,validation
2,150.0,200.0,243.05157292149863,1.894376322382584,1.6006678115536772,0.48179493645074006,0.08651409750252492,frozen,0.025,150.0,validation
3,200.0,250.0,243.17382723378762,1.4975986897558755,1.3400340093525358,0.1275794120961974,0.01052257781357746,frozen,0.025,150.0,validation
0,50.0,100.0,291.082830186423,4.331081822248166,2.7538442667666345,1.4634482963507809,0.3821223308336137,frozen,0.025,200.0,validation
1,100.0,150.0,290.5633011965564,1.6595533934799391,1.4590108893088427,0.028219586471993952,0.00022352851642748472,frozen,0.025,200.0,validation
2,150.0,200.0,290.71916122015153,2.107202043089387,1.9405442515924847,0.4847906082252856,0.04569582715827081,frozen,0.025,200.0,validation
3,200.0,250.0,290.9687580573028,2.0908277356165854,1.9068299463168046,0.6037546126643984,0.0672877026337525,frozen,0.025,200.0,validation
0,50.0,100.0,320.1439138552878,7.820191757646455,5.85161021985374,1.133655746960364,0.1009017173600143,frozen,0.025,250.0,train
1,100.0,150.0,319.2152210047883,2.893777959297722,2.5558318594797242,0.02381942479292593,9.988224753965103e-05,frozen,0.025,250.0,train
2,150.0,200.0,319.2386854302647,2.4760601429136386,1.9710043460035536,0.26970630728285555,0.023018406994041896,frozen,0.025,250.0,train
3,200.0,250.0,319.3713932684548,2.46291252055579,2.3712569651948456,0.07390063961364662,0.0011538341554911957,frozen,0.025,250.0,train
0,50.0,100.0,315.71248340196956,3.989606941310342,2.7982053043247106,1.034775437639095,0.23686585069306754,frozen,0.025,300.0,train
1,100.0,150.0,315.08456668203877,2.162217994395121,1.9932592158734792,0.13550004383685407,0.005295156458935524,frozen,0.025,300.0,train
2,150.0,200.0,314.8693748678598,2.4195338982130465,2.0633365595241457,0.3432756633018366,0.03516421497835187,frozen,0.025,300.0,train
3,200.0,250.0,314.8306539756661,2.3676840079943418,2.041886298285874,0.4631892357420239,0.05658178242307399,frozen,0.025,300.0,train
0,50.0,100.0,292.6429222744826,2.7697661210361275,2.3668745592008236,0.25720426777465255,0.014259147715989351,frozen,0.025,350.0,train
1,100.0,150.0,292.37224025721906,1.7738056479117859,1.5496867602817588,0.12126505901140376,0.006853123318852461,frozen,0.025,350.0,train
2,150.0,200.0,292.2113151112114,2.3131071426160474,1.8914821410684226,0.16812466669843038,0.008674458955430397,frozen,0.025,350.0,train
3,200.0,250.0,292.16450509992256,2.0780256421864465,1.853779420700107,0.11208463366979124,0.0036063297571142794,frozen,0.025,350.0,train
0,50.0,100.0,267.94992944797747,2.749740752438413,2.01811156904796,0.11482921004873811,0.0022147846140950778,frozen,0.025,400.0,validation
1,100.0,150.0,267.6376661808801,1.674504652135738,1.4508701503760335,0.139052898892443,0.004971512219192675,frozen,0.025,400.0,validation
2,150.0,200.0,267.7137157071877,1.659004216886899,1.419590013001823,0.15109733267135608,0.007781045242164164,frozen,0.025,400.0,validation
